paraphrase idx,t0_3b_acc,t0pp_acc,falcon-7b-instruct_acc,mpt-7b-instruct_acc,alpaca-7b_acc,alpaca-13b_acc,flan-t5-small_acc,flan-t5-base_acc,flan-t5-large_acc,flan-t5-xl_acc,flan-t5-xxl_acc,airoboros-13b_acc,nous-hermes-13b_acc,ultralm-13b_acc,vicuna-13b_acc,minotaur-15b_acc
117,0.4,0.53,0.03,0.38,0.11,0.02,0.25,0.65,0.58,0.59,0.62,0.03,0.06,0.0,0.0,0.0
118,0.6,0.61,0.02,0.39,0.13,0.09,0.35,0.53,0.6,0.7,0.8,0.14,0.51,0.26,0.01,0.26
119,0.45,0.55,0.45,0.44,0.07,0.16,0.41,0.52,0.6,0.69,0.78,0.24,0.56,0.4,0.06,0.08
120,0.41,0.55,0.18,0.46,0.0,0.0,0.49,0.53,0.57,0.67,0.75,0.06,0.38,0.22,0.03,0.02
121,0.54,0.64,0.06,0.39,0.01,0.01,0.27,0.32,0.54,0.71,0.75,0.26,0.53,0.18,0.01,0.15
122,0.53,0.56,0.33,0.48,0.08,0.09,0.1,0.48,0.6,0.65,0.77,0.16,0.62,0.24,0.03,0.25
123,0.41,0.54,0.31,0.49,0.25,0.24,0.4,0.65,0.58,0.61,0.65,0.44,0.4,0.01,0.05,0.07
124,0.58,0.61,0.46,0.4,0.13,0.21,0.52,0.55,0.6,0.69,0.71,0.12,0.57,0.58,0.11,0.25
125,0.35,0.58,0.27,0.47,0.02,0.0,0.5,0.54,0.64,0.62,0.73,0.07,0.41,0.38,0.04,0.14
126,0.42,0.48,0.0,0.1,0.03,0.01,0.5,0.57,0.45,0.55,0.56,0.01,0.0,0.0,0.01,0.0
127,0.42,0.49,0.0,0.4,0.05,0.02,0.21,0.61,0.58,0.61,0.67,0.19,0.05,0.07,0.02,0.04
128,0.47,0.56,0.14,0.17,0.01,0.0,0.56,0.58,0.59,0.61,0.65,0.15,0.0,0.26,0.0,0.0
129,0.51,0.62,0.45,0.5,0.07,0.28,0.58,0.64,0.6,0.68,0.66,0.52,0.64,0.43,0.22,0.6
130,0.44,0.52,0.2,0.49,0.35,0.14,0.32,0.64,0.52,0.6,0.63,0.01,0.42,0.02,0.03,0.0
131,0.56,0.63,0.07,0.13,0.0,0.0,0.46,0.59,0.61,0.65,0.68,0.08,0.04,0.12,0.0,0.0
132,0.52,0.64,0.11,0.38,0.02,0.02,0.56,0.59,0.61,0.69,0.68,0.15,0.5,0.3,0.04,0.15
133,0.47,0.68,0.38,0.54,0.06,0.07,0.52,0.61,0.64,0.66,0.69,0.32,0.69,0.63,0.03,0.5
134,0.54,0.61,0.42,0.51,0.02,0.12,0.44,0.54,0.58,0.69,0.71,0.32,0.61,0.65,0.11,0.32
135,0.49,0.59,0.33,0.5,0.27,0.14,0.21,0.61,0.59,0.62,0.67,0.03,0.47,0.0,0.0,0.0
136,0.51,0.63,0.18,0.4,0.0,0.0,0.33,0.41,0.46,0.65,0.76,0.23,0.41,0.26,0.02,0.18
137,0.46,0.65,0.42,0.55,0.04,0.15,0.47,0.56,0.54,0.69,0.68,0.3,0.69,0.57,0.17,0.64
138,0.58,0.58,0.46,0.44,0.14,0.36,0.58,0.58,0.61,0.7,0.71,0.52,0.54,0.33,0.13,0.17
139,0.39,0.48,0.41,0.47,0.08,0.13,0.1,0.51,0.43,0.57,0.63,0.15,0.43,0.01,0.06,0.0
140,0.6,0.58,0.46,0.4,0.19,0.24,0.15,0.43,0.45,0.67,0.79,0.16,0.58,0.45,0.13,0.25
141,0.37,0.59,0.32,0.31,0.0,0.01,0.44,0.63,0.65,0.66,0.63,0.07,0.5,0.35,0.01,0.09
142,0.35,0.55,0.21,0.42,0.16,0.17,0.19,0.5,0.61,0.67,0.7,0.01,0.48,0.09,0.02,0.01
143,0.59,0.6,0.45,0.4,0.16,0.18,0.54,0.53,0.59,0.71,0.74,0.12,0.63,0.55,0.12,0.28
144,0.38,0.52,0.29,0.43,0.01,0.0,0.45,0.58,0.58,0.68,0.63,0.1,0.45,0.34,0.01,0.14
145,0.35,0.5,0.02,0.29,0.01,0.07,0.12,0.53,0.59,0.67,0.69,0.0,0.42,0.02,0.01,0.02
146,0.58,0.66,0.07,0.43,0.02,0.01,0.58,0.58,0.64,0.7,0.68,0.13,0.44,0.35,0.01,0.27
147,0.03,0.27,0.14,0.28,0.0,0.0,0.45,0.63,0.58,0.59,0.45,0.18,0.0,0.0,0.02,0.0
148,0.41,0.58,0.2,0.44,0.33,0.16,0.18,0.59,0.55,0.61,0.64,0.02,0.36,0.0,0.02,0.0
149,0.51,0.62,0.04,0.53,0.06,0.02,0.39,0.58,0.6,0.65,0.69,0.01,0.37,0.37,0.01,0.09
150,0.53,0.63,0.44,0.41,0.29,0.05,0.08,0.53,0.6,0.63,0.7,0.15,0.6,0.44,0.04,0.28
151,0.49,0.55,0.53,0.49,0.05,0.1,0.56,0.54,0.62,0.66,0.76,0.15,0.51,0.5,0.02,0.06
152,0.55,0.61,0.09,0.4,0.01,0.0,0.55,0.52,0.62,0.68,0.65,0.13,0.54,0.25,0.06,0.14
153,0.42,0.55,0.37,0.3,0.0,0.12,0.55,0.64,0.62,0.66,0.66,0.06,0.08,0.16,0.01,0.02
154,0.39,0.53,0.45,0.56,0.38,0.09,0.33,0.57,0.58,0.6,0.64,0.38,0.55,0.06,0.07,0.03
155,0.57,0.65,0.09,0.02,0.0,0.0,0.55,0.51,0.67,0.71,0.62,0.14,0.01,0.0,0.0,0.0
156,0.49,0.6,0.43,0.37,0.25,0.28,0.19,0.58,0.57,0.71,0.79,0.14,0.63,0.62,0.08,0.26
157,0.43,0.59,0.45,0.43,0.02,0.03,0.47,0.51,0.6,0.59,0.69,0.27,0.54,0.6,0.01,0.14
158,0.58,0.62,0.13,0.36,0.0,0.04,0.56,0.54,0.62,0.66,0.66,0.13,0.53,0.25,0.02,0.21
159,0.37,0.48,0.13,0.5,0.31,0.18,0.26,0.59,0.56,0.59,0.62,0.28,0.39,0.02,0.0,0.07
160,0.39,0.58,0.39,0.2,0.02,0.07,0.62,0.56,0.57,0.67,0.69,0.07,0.24,0.23,0.0,0.18
161,0.5,0.65,0.36,0.64,0.0,0.32,0.41,0.58,0.56,0.65,0.78,0.45,0.76,0.6,0.19,0.57
162,0.34,0.61,0.59,0.64,0.02,0.06,0.48,0.6,0.65,0.68,0.76,0.39,0.72,0.41,0.09,0.59
163,0.41,0.62,0.58,0.38,0.06,0.02,0.39,0.66,0.62,0.67,0.81,0.36,0.38,0.51,0.04,0.23
164,0.46,0.61,0.55,0.6,0.01,0.09,0.39,0.57,0.58,0.66,0.78,0.5,0.7,0.63,0.04,0.57
165,0.41,0.67,0.54,0.38,0.22,0.04,0.49,0.57,0.51,0.64,0.77,0.39,0.1,0.4,0.03,0.15
166,0.58,0.59,0.46,0.43,0.19,0.25,0.56,0.54,0.6,0.69,0.74,0.32,0.57,0.61,0.14,0.24
167,0.54,0.58,0.0,0.46,0.05,0.05,0.52,0.62,0.52,0.61,0.64,0.11,0.43,0.0,0.02,0.1
168,0.4,0.58,0.01,0.37,0.03,0.06,0.23,0.62,0.59,0.6,0.65,0.0,0.0,0.0,0.0,0.0
169,0.42,0.54,0.17,0.5,0.18,0.03,0.05,0.53,0.59,0.6,0.67,0.31,0.25,0.48,0.01,0.1
170,0.55,0.58,0.37,0.46,0.12,0.28,0.58,0.55,0.61,0.64,0.68,0.31,0.71,0.24,0.12,0.51
171,0.34,0.51,0.38,0.27,0.1,0.03,0.45,0.57,0.57,0.64,0.69,0.35,0.29,0.13,0.01,0.11
172,0.55,0.61,0.45,0.38,0.3,0.25,0.24,0.61,0.59,0.7,0.79,0.16,0.62,0.5,0.09,0.29
173,0.4,0.58,0.43,0.36,0.0,0.0,0.34,0.62,0.53,0.64,0.75,0.11,0.0,0.05,0.06,0.07
174,0.35,0.52,0.27,0.57,0.11,0.18,0.23,0.63,0.52,0.65,0.62,0.51,0.68,0.17,0.0,0.32
175,0.0,0.0,0.02,0.12,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,0.31,0.52,0.53,0.4,0.44,0.37,0.32,0.53,0.55,0.6,0.71,0.53,0.47,0.7,0.62,0.49
177,0.26,0.59,0.06,0.41,0.04,0.42,0.56,0.27,0.66,0.66,0.75,0.26,0.63,0.53,0.25,0.29
178,0.27,0.54,0.02,0.27,0.23,0.48,0.61,0.46,0.65,0.67,0.73,0.31,0.55,0.76,0.4,0.54
179,0.24,0.58,0.08,0.49,0.12,0.2,0.46,0.47,0.69,0.66,0.76,0.57,0.56,0.67,0.43,0.28
180,0.24,0.56,0.06,0.31,0.04,0.34,0.5,0.22,0.66,0.61,0.76,0.16,0.57,0.39,0.18,0.17
181,0.27,0.56,0.63,0.44,0.65,0.65,0.32,0.51,0.66,0.69,0.76,0.35,0.58,0.68,0.79,0.26
182,0.21,0.62,0.11,0.13,0.2,0.2,0.56,0.2,0.57,0.72,0.76,0.0,0.03,0.06,0.11,0.01
183,0.24,0.51,0.52,0.45,0.43,0.31,0.48,0.48,0.57,0.61,0.7,0.56,0.43,0.56,0.66,0.61
184,0.2,0.57,0.52,0.36,0.45,0.39,0.23,0.49,0.51,0.63,0.66,0.58,0.57,0.58,0.63,0.64
185,0.41,0.54,0.33,0.57,0.57,0.65,0.54,0.48,0.45,0.0,0.8,0.06,0.09,0.0,0.55,0.0
186,0.51,0.56,0.16,0.42,0.19,0.66,0.47,0.52,0.68,0.63,0.81,0.37,0.61,0.68,0.41,0.44
187,0.45,0.55,0.17,0.63,0.53,0.68,0.4,0.48,0.56,0.58,0.77,0.22,0.37,0.76,0.31,0.56
188,0.45,0.55,0.13,0.34,0.3,0.41,0.24,0.56,0.6,0.61,0.73,0.09,0.22,0.38,0.43,0.17
189,0.21,0.57,0.02,0.42,0.04,0.31,0.52,0.46,0.63,0.71,0.74,0.28,0.54,0.45,0.14,0.27
190,0.23,0.59,0.1,0.33,0.41,0.57,0.61,0.42,0.65,0.67,0.76,0.41,0.54,0.79,0.55,0.58
191,0.2,0.55,0.6,0.49,0.66,0.63,0.6,0.52,0.69,0.68,0.75,0.49,0.14,0.7,0.56,0.15
192,0.04,0.12,0.0,0.02,0.01,0.0,0.33,0.25,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,0.51,0.52,0.0,0.29,0.11,0.31,0.34,0.47,0.49,0.54,0.66,0.0,0.26,0.07,0.03,0.49
194,0.43,0.53,0.06,0.46,0.56,0.69,0.44,0.48,0.01,0.0,0.68,0.03,0.0,0.0,0.25,0.0
195,0.39,0.21,0.01,0.09,0.09,0.04,0.27,0.01,0.02,0.01,0.0,0.0,0.0,0.01,0.06,0.11
196,0.51,0.58,0.05,0.27,0.44,0.68,0.43,0.6,0.65,0.67,0.75,0.67,0.42,0.54,0.22,0.72
197,0.51,0.36,0.0,0.0,0.0,0.0,0.18,0.45,0.03,0.27,0.36,0.0,0.0,0.0,0.0,0.0
198,0.48,0.52,0.09,0.21,0.39,0.6,0.14,0.45,0.55,0.44,0.67,0.0,0.38,0.0,0.35,0.0
199,0.47,0.55,0.7,0.41,0.66,0.62,0.36,0.49,0.52,0.63,0.74,0.0,0.01,0.0,0.76,0.0
200,0.36,0.69,0.0,0.35,0.0,0.02,0.29,0.27,0.67,0.78,0.39,0.3,0.69,0.63,0.0,0.47
201,0.02,0.15,0.0,0.17,0.0,0.0,0.26,0.0,0.0,0.35,0.0,0.54,0.8,0.0,0.0,0.6
202,0.03,0.14,0.05,0.29,0.11,0.2,0.46,0.1,0.28,0.38,0.0,0.57,0.0,0.0,0.21,0.0
203,0.18,0.61,0.14,0.47,0.29,0.53,0.54,0.2,0.61,0.55,0.71,0.77,0.58,0.8,0.41,0.38
204,0.19,0.59,0.08,0.3,0.34,0.52,0.52,0.28,0.65,0.6,0.71,0.76,0.57,0.81,0.29,0.38
205,0.34,0.53,0.15,0.19,0.17,0.44,0.36,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0
206,0.38,0.63,0.0,0.5,0.0,0.0,0.21,0.26,0.0,0.62,0.34,0.11,0.05,0.04,0.0,0.1
