paraphrase idx,t0_3b_acc,t0pp_acc,falcon-7b-instruct_acc,mpt-7b-instruct_acc,alpaca-7b_acc,alpaca-13b_acc,flan-t5-base_acc,flan-t5-small_acc,flan-t5-large_acc,flan-t5-xl_acc,flan-t5-xxl_acc,airoboros-13b_acc,nous-hermes-13b_acc,ultralm-13b_acc,vicuna-13b_acc,minotaur-15b_acc
14,0.68,0.79,0.42,0.56,0.0,0.3,0.47,0.48,0.56,0.71,0.84,0.56,0.56,0.43,0.0,0.18
15,0.76,0.91,0.56,0.56,0.0,0.0,0.47,0.55,0.56,0.7,0.86,0.7,0.82,0.56,0.08,0.58
16,0.45,0.48,0.56,0.44,0.0,0.0,0.48,0.54,0.71,0.44,0.44,0.52,0.6,0.56,0.0,0.46
17,0.68,0.87,0.56,0.55,0.0,0.0,0.5,0.57,0.56,0.72,0.87,0.57,0.76,0.56,0.02,0.67
18,0.67,0.99,0.47,0.55,0.0,0.0,0.49,0.56,0.58,0.92,0.72,0.62,0.48,0.58,0.04,0.41
19,0.65,0.91,0.57,0.57,0.0,0.0,0.54,0.57,0.56,0.71,0.87,0.68,0.79,0.56,0.03,0.54
20,0.62,0.95,0.57,0.53,0.0,0.0,0.52,0.53,0.57,0.62,0.88,0.54,0.67,0.56,0.01,0.45
21,0.62,0.97,0.57,0.53,0.01,0.0,0.45,0.5,0.55,0.62,0.92,0.55,0.71,0.56,0.0,0.46
22,0.66,0.9,0.49,0.56,0.0,0.0,0.49,0.53,0.56,0.68,0.91,0.56,0.68,0.56,0.0,0.43
23,0.62,0.93,0.54,0.36,0.0,0.0,0.53,0.55,0.59,0.71,0.95,0.54,0.6,0.56,0.0,0.26
24,0.58,0.91,0.53,0.53,0.01,0.0,0.5,0.51,0.5,0.57,0.91,0.47,0.44,0.56,0.0,0.43
25,0.57,0.9,0.45,0.54,0.0,0.0,0.52,0.46,0.44,0.58,0.86,0.33,0.44,0.56,0.0,0.45
26,0.47,0.69,0.5,0.54,0.0,0.0,0.48,0.44,0.45,0.53,0.9,0.6,0.44,0.56,0.0,0.45
27,0.62,0.86,0.46,0.53,0.0,0.0,0.48,0.51,0.39,0.63,0.89,0.49,0.44,0.56,0.0,0.44
28,0.61,0.72,0.64,0.55,0.0,0.0,0.62,0.54,0.56,0.72,0.84,0.13,0.71,0.56,0.0,0.4
29,0.43,0.58,0.5,0.56,0.0,0.0,0.46,0.57,0.46,0.41,0.49,0.0,0.48,0.0,0.0,0.01
30,0.51,0.53,0.25,0.56,0.01,0.02,0.49,0.6,0.57,0.45,0.43,0.0,0.13,0.56,0.0,0.01
31,0.39,0.56,0.45,0.57,0.0,0.0,0.46,0.54,0.5,0.53,0.45,0.0,0.43,0.43,0.0,0.0
32,0.46,0.57,0.3,0.56,0.0,0.0,0.47,0.5,0.55,0.5,0.46,0.0,0.47,0.55,0.0,0.0
33,0.6,0.71,0.57,0.56,0.0,0.02,0.53,0.56,0.54,0.77,0.78,0.19,0.81,0.55,0.0,0.46
34,0.55,0.73,0.55,0.54,0.0,0.0,0.49,0.61,0.57,0.71,0.89,0.19,0.71,0.56,0.01,0.26
35,0.63,0.9,0.56,0.55,0.0,0.0,0.5,0.56,0.57,0.63,0.76,0.2,0.81,0.56,0.0,0.49
36,0.7,0.92,0.56,0.54,0.0,0.0,0.45,0.59,0.56,0.73,0.86,0.56,0.76,0.56,0.0,0.41
37,0.57,0.96,0.49,0.45,0.01,0.0,0.6,0.55,0.57,0.73,0.84,0.0,0.71,0.56,0.24,0.12
38,0.49,0.51,0.61,0.47,0.0,0.0,0.45,0.61,0.64,0.45,0.44,0.54,0.61,0.56,0.0,0.35
39,0.66,0.91,0.56,0.56,0.0,0.0,0.51,0.57,0.56,0.75,0.81,0.56,0.69,0.56,0.0,0.58
40,0.19,0.88,0.52,0.33,0.0,0.0,0.58,0.61,0.56,0.68,0.76,0.01,0.0,0.55,0.0,0.0
41,0.69,0.93,0.56,0.51,0.0,0.0,0.49,0.61,0.56,0.72,0.84,0.56,0.76,0.56,0.0,0.55
42,0.62,0.95,0.56,0.52,0.0,0.0,0.45,0.56,0.56,0.71,0.86,0.56,0.62,0.56,0.0,0.46
43,0.74,0.94,0.56,0.51,0.0,0.0,0.48,0.56,0.56,0.75,0.83,0.55,0.7,0.56,0.0,0.43
44,0.52,0.93,0.48,0.28,0.0,0.0,0.53,0.51,0.56,0.64,0.89,0.54,0.55,0.57,0.0,0.31
45,0.62,0.94,0.52,0.37,0.0,0.0,0.43,0.51,0.57,0.64,0.9,0.64,0.48,0.56,0.0,0.29
46,0.58,0.92,0.56,0.31,0.0,0.0,0.49,0.57,0.56,0.67,0.92,0.63,0.48,0.56,0.0,0.37
47,0.6,0.92,0.52,0.36,0.0,0.0,0.49,0.58,0.56,0.64,0.91,0.57,0.51,0.56,0.0,0.4
48,0.65,0.92,0.52,0.32,0.0,0.0,0.52,0.6,0.56,0.64,0.9,0.53,0.59,0.56,0.0,0.26
49,0.63,0.93,0.53,0.52,0.0,0.0,0.51,0.55,0.56,0.65,0.92,0.56,0.6,0.56,0.0,0.38
50,0.64,0.89,0.53,0.22,0.0,0.0,0.51,0.59,0.56,0.68,0.92,0.56,0.57,0.57,0.0,0.28
51,0.53,0.93,0.56,0.31,0.0,0.0,0.52,0.53,0.56,0.65,0.88,0.57,0.57,0.56,0.0,0.32
52,0.71,0.98,0.56,0.51,0.0,0.0,0.54,0.61,0.57,0.71,0.89,0.65,0.86,0.56,0.04,0.68
53,0.74,0.97,0.55,0.46,0.0,0.0,0.48,0.51,0.58,0.74,0.91,0.69,0.61,0.56,0.02,0.58
54,0.68,0.97,0.58,0.53,0.0,0.0,0.54,0.6,0.57,0.77,0.93,0.57,0.9,0.56,0.0,0.68
55,0.7,0.98,0.58,0.56,0.0,0.0,0.52,0.52,0.56,0.74,0.96,0.71,0.89,0.56,0.01,0.58
56,0.58,0.94,0.57,0.5,0.0,0.01,0.5,0.57,0.57,0.81,0.96,0.58,0.77,0.56,0.0,0.49
57,0.72,0.96,0.56,0.55,0.0,0.0,0.57,0.55,0.56,0.71,0.84,0.5,0.54,0.58,0.0,0.61
58,0.67,0.97,0.57,0.56,0.0,0.0,0.55,0.53,0.56,0.75,0.91,0.63,0.9,0.56,0.0,0.66
59,0.7,0.96,0.57,0.54,0.0,0.0,0.54,0.54,0.56,0.74,0.84,0.58,0.93,0.56,0.07,0.69
60,0.73,0.96,0.53,0.53,0.0,0.0,0.52,0.6,0.56,0.69,0.87,0.72,0.81,0.56,0.0,0.48
61,0.66,0.96,0.68,0.55,0.0,0.0,0.57,0.55,0.57,0.64,0.89,0.53,0.82,0.56,0.02,0.65
62,0.68,0.99,0.58,0.56,0.0,0.0,0.57,0.61,0.56,0.74,0.87,0.55,0.87,0.56,0.01,0.68
63,0.75,0.97,0.54,0.55,0.0,0.0,0.5,0.55,0.56,0.74,0.92,0.65,0.78,0.56,0.02,0.53
64,0.71,0.97,0.65,0.57,0.0,0.0,0.56,0.54,0.56,0.77,0.89,0.65,0.78,0.57,0.0,0.56
65,0.72,0.98,0.58,0.55,0.02,0.0,0.52,0.51,0.56,0.77,0.89,0.46,0.85,0.56,0.0,0.73
66,0.62,0.63,0.56,0.0,0.0,0.0,0.47,0.63,0.55,0.76,0.97,0.06,0.58,0.28,0.0,0.02
67,0.64,0.75,0.54,0.0,0.0,0.0,0.47,0.6,0.56,0.74,0.94,0.32,0.68,0.24,0.0,0.02
68,0.7,0.7,0.61,0.0,0.0,0.01,0.51,0.56,0.57,0.72,0.89,0.06,0.76,0.1,0.0,0.0
69,0.56,0.62,0.63,0.0,0.0,0.0,0.54,0.57,0.56,0.7,0.97,0.05,0.46,0.09,0.0,0.03
70,0.59,0.92,0.46,0.0,0.0,0.0,0.57,0.52,0.56,0.75,0.87,0.36,0.86,0.12,0.0,0.02
71,0.49,0.54,0.57,0.01,0.0,0.0,0.54,0.65,0.6,0.7,0.96,0.13,0.81,0.16,0.0,0.0
72,0.55,0.55,0.54,0.0,0.0,0.0,0.51,0.57,0.56,0.71,0.97,0.09,0.52,0.27,0.0,0.01
73,0.59,0.55,0.58,0.0,0.0,0.0,0.52,0.59,0.57,0.67,0.9,0.16,0.54,0.2,0.0,0.0
74,0.69,0.62,0.5,0.0,0.0,0.0,0.54,0.53,0.6,0.66,0.95,0.13,0.62,0.18,0.0,0.0
75,0.73,0.97,0.59,0.02,0.0,0.0,0.54,0.55,0.56,0.72,0.88,0.28,0.83,0.3,0.0,0.03
76,0.45,0.82,0.5,0.0,0.0,0.0,0.5,0.67,0.58,0.74,0.97,0.32,0.47,0.05,0.0,0.0
77,0.69,0.74,0.48,0.0,0.0,0.0,0.51,0.55,0.56,0.82,0.97,0.43,0.47,0.21,0.0,0.01
78,0.56,0.91,0.61,0.01,0.0,0.0,0.51,0.52,0.58,0.76,0.97,0.2,0.7,0.14,0.0,0.11
79,0.78,0.98,0.56,0.54,0.0,0.0,0.54,0.59,0.56,0.76,0.95,0.7,0.93,0.56,0.03,0.5
80,0.66,0.98,0.6,0.53,0.0,0.0,0.46,0.59,0.56,0.75,0.96,0.64,0.9,0.56,0.08,0.69
81,0.76,0.96,0.61,0.57,0.0,0.0,0.59,0.61,0.58,0.8,0.94,0.52,0.85,0.56,0.05,0.37
82,0.77,0.98,0.49,0.56,0.0,0.0,0.56,0.53,0.56,0.74,0.95,0.66,0.67,0.56,0.0,0.4
83,0.74,0.94,0.61,0.49,0.0,0.0,0.53,0.6,0.57,0.74,0.92,0.74,0.85,0.56,0.03,0.53
84,0.6,0.99,0.56,0.57,0.0,0.0,0.49,0.61,0.57,0.77,0.93,0.63,0.94,0.56,0.0,0.72
85,0.63,0.94,0.54,0.57,0.0,0.0,0.48,0.6,0.56,0.8,0.94,0.6,0.83,0.56,0.0,0.64
86,0.63,0.95,0.58,0.49,0.0,0.0,0.47,0.55,0.56,0.74,0.91,0.62,0.81,0.56,0.01,0.58
87,0.69,0.96,0.57,0.58,0.0,0.0,0.57,0.59,0.56,0.77,0.91,0.74,0.95,0.56,0.02,0.66
88,0.68,0.97,0.56,0.58,0.01,0.0,0.45,0.59,0.56,0.73,0.95,0.65,0.85,0.56,0.01,0.68
89,0.7,0.92,0.61,0.56,0.0,0.0,0.55,0.59,0.56,0.76,0.95,0.71,0.87,0.56,0.01,0.59
90,0.68,0.96,0.51,0.57,0.0,0.0,0.49,0.56,0.56,0.73,0.93,0.73,0.83,0.56,0.02,0.53
91,0.71,0.97,0.64,0.55,0.0,0.0,0.48,0.52,0.56,0.82,0.86,0.15,0.82,0.56,0.07,0.06
92,0.68,0.91,0.53,0.52,0.0,0.0,0.51,0.52,0.57,0.73,0.97,0.57,0.66,0.56,0.04,0.45
93,0.63,0.83,0.55,0.0,0.0,0.0,0.52,0.53,0.57,0.71,0.93,0.5,0.54,0.0,0.0,0.03
94,0.59,0.64,0.57,0.0,0.0,0.0,0.56,0.56,0.56,0.71,0.95,0.43,0.5,0.12,0.0,0.03
95,0.69,0.74,0.58,0.0,0.0,0.0,0.5,0.58,0.56,0.69,0.88,0.38,0.84,0.19,0.0,0.0
96,0.72,0.78,0.44,0.0,0.0,0.01,0.52,0.5,0.56,0.78,0.77,0.48,0.44,0.11,0.0,0.17
97,0.61,0.84,0.53,0.0,0.0,0.0,0.5,0.57,0.56,0.71,0.96,0.36,0.52,0.05,0.0,0.01
98,0.59,0.72,0.52,0.0,0.0,0.0,0.56,0.52,0.56,0.73,0.94,0.3,0.45,0.02,0.0,0.0
99,0.69,0.71,0.53,0.01,0.0,0.0,0.48,0.57,0.56,0.69,0.92,0.53,0.57,0.23,0.0,0.0
100,0.57,0.97,0.49,0.0,0.0,0.0,0.51,0.5,0.57,0.71,0.94,0.52,0.81,0.06,0.0,0.02
101,0.54,0.88,0.52,0.0,0.0,0.0,0.47,0.69,0.56,0.72,0.96,0.43,0.48,0.05,0.0,0.04
102,0.7,0.71,0.56,0.0,0.0,0.0,0.52,0.56,0.56,0.68,0.9,0.42,0.48,0.05,0.0,0.02
103,0.49,0.85,0.48,0.0,0.0,0.0,0.52,0.57,0.55,0.74,0.97,0.44,0.47,0.04,0.0,0.04
104,0.58,0.69,0.6,0.0,0.0,0.0,0.56,0.53,0.56,0.7,0.97,0.54,0.54,0.08,0.0,0.04
105,0.7,0.77,0.52,0.0,0.0,0.0,0.53,0.54,0.56,0.69,0.79,0.48,0.63,0.56,0.0,0.0
106,0.76,0.71,0.58,0.0,0.0,0.0,0.5,0.53,0.56,0.72,0.92,0.62,0.72,0.46,0.0,0.02
107,0.53,0.45,0.58,0.0,0.0,0.0,0.52,0.43,0.62,0.87,0.8,0.18,0.44,0.15,0.0,0.13
108,0.65,0.83,0.59,0.0,0.0,0.0,0.56,0.6,0.56,0.68,0.89,0.4,0.44,0.16,0.0,0.03
109,0.71,0.96,0.51,0.55,0.0,0.0,0.57,0.56,0.56,0.82,0.93,0.61,0.72,0.56,0.0,0.41
110,0.72,0.97,0.62,0.55,0.0,0.0,0.5,0.55,0.56,0.77,0.98,0.76,0.9,0.56,0.0,0.67
111,0.6,0.98,0.56,0.49,0.0,0.0,0.45,0.57,0.56,0.74,0.88,0.55,0.81,0.56,0.0,0.43
112,0.63,0.93,0.58,0.52,0.0,0.0,0.49,0.57,0.56,0.76,0.94,0.72,0.92,0.56,0.0,0.3
113,0.71,0.96,0.53,0.39,0.0,0.0,0.56,0.57,0.56,0.81,0.81,0.53,0.79,0.56,0.0,0.43
114,0.61,0.96,0.56,0.42,0.0,0.01,0.56,0.56,0.56,0.73,0.94,0.09,0.79,0.56,0.0,0.08
115,0.69,0.98,0.45,0.32,0.0,0.0,0.46,0.61,0.52,0.78,0.95,0.59,0.82,0.56,0.0,0.22
116,0.63,0.99,0.47,0.1,0.0,0.0,0.47,0.54,0.56,0.84,0.96,0.54,0.79,0.56,0.0,0.38
117,0.63,0.95,0.54,0.37,0.0,0.01,0.44,0.47,0.51,0.78,0.97,0.15,0.81,0.49,0.0,0.03
118,0.66,0.96,0.51,0.48,0.0,0.0,0.54,0.54,0.56,0.74,0.83,0.41,0.84,0.56,0.0,0.43
119,0.7,0.97,0.56,0.43,0.0,0.0,0.57,0.57,0.56,0.68,0.83,0.56,0.8,0.56,0.0,0.33
120,0.8,0.98,0.56,0.56,0.0,0.0,0.57,0.55,0.56,0.68,0.87,0.53,0.78,0.56,0.0,0.43
121,0.62,0.95,0.55,0.52,0.0,0.0,0.52,0.58,0.56,0.67,0.86,0.6,0.84,0.56,0.0,0.43
122,0.68,0.97,0.57,0.58,0.0,0.0,0.55,0.53,0.56,0.73,0.93,0.51,0.64,0.56,0.0,0.52
123,0.67,0.97,0.52,0.47,0.0,0.0,0.49,0.54,0.56,0.7,0.79,0.55,0.88,0.56,0.0,0.3
124,0.78,0.97,0.6,0.55,0.0,0.0,0.55,0.54,0.56,0.77,0.92,0.71,0.92,0.56,0.02,0.65
125,0.7,0.98,0.6,0.56,0.0,0.0,0.57,0.55,0.57,0.82,0.94,0.66,0.89,0.56,0.03,0.72
126,0.63,0.98,0.52,0.56,0.0,0.0,0.56,0.57,0.56,0.8,0.94,0.6,0.7,0.56,0.01,0.66
127,0.72,0.98,0.59,0.53,0.0,0.0,0.58,0.57,0.56,0.69,0.91,0.66,0.9,0.56,0.03,0.65
128,0.8,0.91,0.57,0.48,0.0,0.0,0.51,0.47,0.56,0.65,0.94,0.5,0.78,0.56,0.0,0.44
129,0.7,0.96,0.56,0.56,0.0,0.0,0.58,0.57,0.56,0.66,0.89,0.48,0.44,0.58,0.0,0.52
130,0.71,0.97,0.55,0.53,0.0,0.0,0.5,0.57,0.56,0.68,0.86,0.7,0.85,0.56,0.0,0.61
131,0.66,0.98,0.62,0.58,0.0,0.0,0.59,0.47,0.56,0.77,0.87,0.48,0.63,0.56,0.0,0.57
132,0.7,0.98,0.54,0.58,0.0,0.0,0.63,0.6,0.56,0.69,0.85,0.6,0.66,0.56,0.0,0.55
133,0.69,0.99,0.6,0.51,0.0,0.0,0.55,0.53,0.56,0.73,0.94,0.61,0.62,0.56,0.02,0.56
134,0.68,0.92,0.58,0.48,0.0,0.0,0.53,0.6,0.55,0.73,0.97,0.63,0.83,0.56,0.03,0.55
135,0.56,0.89,0.51,0.0,0.0,0.0,0.5,0.56,0.56,0.73,0.89,0.33,0.88,0.11,0.0,0.0
136,0.67,0.78,0.57,0.0,0.0,0.0,0.54,0.61,0.55,0.71,0.92,0.35,0.93,0.32,0.0,0.02
137,0.66,0.63,0.63,0.01,0.0,0.0,0.48,0.48,0.56,0.81,0.92,0.16,0.7,0.31,0.0,0.09
138,0.6,0.58,0.64,0.0,0.02,0.0,0.59,0.58,0.56,0.72,0.96,0.22,0.82,0.48,0.0,0.01
139,0.57,0.94,0.51,0.0,0.0,0.0,0.48,0.61,0.56,0.75,0.95,0.15,0.54,0.06,0.0,0.13
140,0.7,0.92,0.65,0.53,0.0,0.0,0.57,0.54,0.59,0.88,0.9,0.3,0.44,0.81,0.0,0.23
141,0.7,0.95,0.55,0.5,0.0,0.01,0.53,0.5,0.56,0.68,0.9,0.64,0.87,0.56,0.01,0.52
142,0.61,0.93,0.6,0.53,0.0,0.0,0.54,0.64,0.59,0.77,0.95,0.54,0.82,0.56,0.01,0.45
143,0.63,0.98,0.54,0.56,0.0,0.0,0.48,0.61,0.56,0.83,0.96,0.61,0.81,0.56,0.06,0.34
144,0.68,0.93,0.55,0.44,0.0,0.0,0.51,0.6,0.56,0.71,0.95,0.65,0.81,0.56,0.0,0.53
145,0.67,0.95,0.6,0.54,0.0,0.0,0.6,0.58,0.56,0.68,0.82,0.64,0.92,0.56,0.01,0.69
146,0.72,0.96,0.54,0.55,0.0,0.0,0.57,0.55,0.56,0.76,0.91,0.59,0.9,0.56,0.0,0.54
147,0.75,0.98,0.54,0.57,0.0,0.0,0.58,0.56,0.56,0.78,0.95,0.54,0.87,0.56,0.02,0.67
148,0.7,0.98,0.56,0.51,0.01,0.0,0.4,0.57,0.56,0.76,0.82,0.57,0.87,0.56,0.0,0.43
149,0.68,0.97,0.53,0.55,0.0,0.0,0.44,0.58,0.57,0.82,0.95,0.68,0.81,0.56,0.0,0.55
150,0.79,0.99,0.61,0.51,0.0,0.0,0.51,0.56,0.56,0.78,0.97,0.51,0.85,0.56,0.02,0.59
151,0.74,0.96,0.47,0.52,0.0,0.0,0.5,0.54,0.57,0.77,0.91,0.69,0.86,0.56,0.0,0.47
152,0.62,0.97,0.5,0.46,0.0,0.0,0.49,0.57,0.57,0.74,0.96,0.7,0.78,0.56,0.02,0.37
153,0.65,0.97,0.59,0.51,0.0,0.0,0.55,0.51,0.56,0.72,0.96,0.56,0.81,0.56,0.01,0.49
154,0.7,0.98,0.54,0.57,0.01,0.0,0.5,0.57,0.56,0.72,0.9,0.5,0.7,0.56,0.01,0.54
155,0.69,0.97,0.56,0.45,0.0,0.0,0.51,0.58,0.56,0.68,0.74,0.56,0.68,0.56,0.0,0.45
156,0.71,0.98,0.61,0.54,0.0,0.0,0.51,0.56,0.56,0.74,0.92,0.59,0.84,0.56,0.0,0.17
157,0.64,0.98,0.58,0.56,0.0,0.0,0.56,0.53,0.56,0.84,0.95,0.6,0.81,0.56,0.0,0.7
158,0.65,0.99,0.69,0.48,0.0,0.0,0.49,0.56,0.57,0.75,0.93,0.57,0.77,0.56,0.0,0.57
159,0.69,0.96,0.59,0.57,0.0,0.0,0.52,0.54,0.57,0.79,0.96,0.69,0.95,0.56,0.0,0.69
160,0.64,0.97,0.56,0.37,0.0,0.02,0.49,0.61,0.56,0.73,0.96,0.56,0.76,0.56,0.0,0.39
161,0.66,0.97,0.56,0.43,0.0,0.0,0.57,0.56,0.56,0.67,0.83,0.56,0.84,0.56,0.0,0.35
162,0.67,0.97,0.58,0.55,0.0,0.0,0.53,0.57,0.55,0.77,0.92,0.64,0.8,0.56,0.0,0.61
163,0.65,0.99,0.57,0.56,0.0,0.0,0.57,0.58,0.56,0.67,0.81,0.69,0.68,0.56,0.0,0.56
164,0.62,0.66,0.56,0.0,0.0,0.0,0.59,0.64,0.56,0.77,0.96,0.23,0.82,0.5,0.0,0.02
165,0.51,0.51,0.58,0.0,0.0,0.0,0.49,0.54,0.57,0.84,0.96,0.15,0.52,0.36,0.0,0.0
166,0.74,0.97,0.59,0.51,0.0,0.0,0.48,0.61,0.56,0.77,0.94,0.59,0.84,0.56,0.08,0.47
167,0.73,0.94,0.54,0.55,0.0,0.0,0.45,0.54,0.57,0.71,0.97,0.65,0.73,0.56,0.01,0.37
168,0.66,0.95,0.45,0.5,0.0,0.0,0.49,0.51,0.56,0.65,0.87,0.51,0.49,0.56,0.02,0.49
169,0.75,0.97,0.6,0.56,0.03,0.0,0.58,0.51,0.56,0.7,0.97,0.65,0.88,0.56,0.01,0.67
170,0.58,0.94,0.49,0.45,0.0,0.0,0.5,0.45,0.64,0.82,0.95,0.36,0.56,0.56,0.06,0.14
171,0.69,0.9,0.59,0.55,0.0,0.0,0.54,0.58,0.56,0.7,0.94,0.52,0.58,0.58,0.0,0.57
172,0.74,0.99,0.56,0.57,0.0,0.0,0.52,0.48,0.57,0.7,0.96,0.75,0.87,0.56,0.03,0.7
173,0.7,0.93,0.55,0.47,0.01,0.0,0.5,0.59,0.56,0.69,0.9,0.55,0.82,0.56,0.02,0.53
174,0.71,0.91,0.59,0.49,0.0,0.0,0.55,0.52,0.57,0.74,0.94,0.65,0.71,0.56,0.02,0.6
175,0.69,0.96,0.56,0.55,0.0,0.0,0.52,0.59,0.56,0.69,0.84,0.71,0.86,0.56,0.0,0.71
176,0.66,0.78,0.47,0.59,0.0,0.0,0.51,0.47,0.62,0.77,0.68,0.4,0.44,0.6,0.01,0.35
177,0.68,0.97,0.63,0.57,0.0,0.0,0.56,0.5,0.56,0.76,0.86,0.64,0.75,0.56,0.01,0.46
178,0.74,0.96,0.56,0.56,0.01,0.0,0.53,0.6,0.57,0.72,0.96,0.57,0.78,0.56,0.03,0.58
179,0.77,0.98,0.65,0.44,0.0,0.0,0.52,0.65,0.57,0.8,0.94,0.55,0.86,0.56,0.1,0.45
180,0.71,0.95,0.58,0.52,0.01,0.0,0.53,0.57,0.56,0.68,0.83,0.56,0.58,0.58,0.0,0.46
181,0.68,0.98,0.6,0.55,0.0,0.0,0.5,0.6,0.59,0.71,0.9,0.52,0.59,0.57,0.0,0.51
182,0.76,0.94,0.58,0.56,0.01,0.0,0.52,0.56,0.56,0.71,0.91,0.69,0.83,0.56,0.01,0.49
183,0.47,0.83,0.44,0.0,0.0,0.0,0.52,0.59,0.56,0.82,0.9,0.18,0.76,0.14,0.0,0.0
184,0.68,0.67,0.59,0.0,0.0,0.0,0.42,0.58,0.58,0.8,0.89,0.08,0.68,0.26,0.0,0.0
185,0.58,0.97,0.3,0.56,0.04,0.51,0.0,0.29,0.57,0.72,0.93,0.59,0.91,0.56,0.02,0.75
186,0.75,0.92,0.45,0.56,0.54,0.78,0.0,0.57,0.57,0.7,0.96,0.66,0.91,0.52,0.92,0.76
187,0.6,0.92,0.37,0.58,0.42,0.45,0.0,0.5,0.58,0.86,0.97,0.55,0.51,0.71,0.89,0.52
188,0.68,0.94,0.62,0.48,0.78,0.59,0.37,0.57,0.56,0.71,0.81,0.71,0.84,0.56,0.61,0.83
189,0.69,0.86,0.45,0.55,0.56,0.56,0.48,0.58,0.56,0.66,0.95,0.02,0.29,0.56,0.0,0.01
190,0.57,0.56,0.07,0.43,0.0,0.14,0.44,0.52,0.5,0.39,0.56,0.0,0.21,0.56,0.0,0.0
191,0.62,0.9,0.34,0.02,0.19,0.0,0.54,0.56,0.56,0.66,0.85,0.24,0.54,0.53,0.0,0.33
192,0.53,0.87,0.37,0.44,0.58,0.37,0.52,0.59,0.56,0.5,0.91,0.02,0.0,0.55,0.05,0.0
193,0.71,0.91,0.54,0.48,0.56,0.56,0.62,0.57,0.56,0.62,0.83,0.57,0.73,0.56,0.56,0.7
194,0.72,0.92,0.46,0.55,0.38,0.56,0.5,0.56,0.56,0.68,0.91,0.56,0.08,0.55,0.55,0.09
195,0.77,0.91,0.51,0.43,0.54,0.56,0.54,0.62,0.56,0.67,0.82,0.56,0.82,0.56,0.56,0.73
196,0.57,0.8,0.54,0.27,0.56,0.56,0.49,0.57,0.56,0.7,0.98,0.53,0.42,0.09,0.33,0.1
197,0.39,0.94,0.02,0.41,0.05,0.12,0.0,0.51,0.56,0.64,0.94,0.56,0.58,0.23,0.04,0.43
198,0.62,0.97,0.59,0.53,0.56,0.56,0.54,0.58,0.56,0.6,0.96,0.56,0.6,0.56,0.59,0.5
199,0.18,0.96,0.56,0.37,0.62,0.56,0.51,0.56,0.56,0.65,0.85,0.56,0.57,0.56,0.42,0.56
200,0.61,0.76,0.53,0.23,0.56,0.56,0.52,0.55,0.56,0.65,0.94,0.6,0.59,0.5,0.56,0.55
201,0.6,0.57,0.55,0.5,0.56,0.56,0.43,0.56,0.56,0.6,0.89,0.49,0.34,0.53,0.39,0.13
202,0.63,0.92,0.54,0.46,0.56,0.56,0.55,0.56,0.56,0.64,0.97,0.56,0.44,0.56,0.6,0.67
203,0.64,0.98,0.57,0.53,0.56,0.56,0.53,0.69,0.57,0.89,0.91,0.56,0.56,0.56,0.79,0.68
204,0.56,0.67,0.56,0.41,0.56,0.56,0.55,0.57,0.56,0.56,0.74,0.47,0.84,0.56,0.81,0.82
205,0.56,0.63,0.57,0.38,0.57,0.56,0.58,0.58,0.56,0.57,0.76,0.56,0.9,0.56,0.9,0.89
206,0.56,0.62,0.56,0.45,0.56,0.56,0.57,0.55,0.56,0.56,0.71,0.46,0.9,0.56,0.84,0.79
