paraphrase idx,t0_3b_acc,t0pp_acc,falcon-7b-instruct_acc,mpt-7b-instruct_acc,alpaca-7b_acc,alpaca-13b_acc,flan-t5-base_acc,flan-t5-small_acc,flan-t5-large_acc,flan-t5-xl_acc,flan-t5-xxl_acc,airoboros-13b_acc,nous-hermes-13b_acc,ultralm-13b_acc,vicuna-13b_acc,minotaur-15b_acc
57,0.54,0.53,0.61,0.07,0.0,0.0,0.51,0.72,0.82,0.54,0.73,0.02,0.51,0.55,0.0,0.07
58,0.51,0.53,0.74,0.29,0.0,0.0,0.55,0.75,0.81,0.55,0.74,0.3,0.53,0.71,0.01,0.44
59,0.54,0.53,0.78,0.13,0.0,0.0,0.55,0.81,0.84,0.53,0.85,0.03,0.53,0.65,0.0,0.45
60,0.53,0.53,0.67,0.31,0.0,0.0,0.59,0.59,0.85,0.73,0.85,0.4,0.53,0.76,0.0,0.53
61,0.51,0.53,0.58,0.52,0.0,0.0,0.56,0.78,0.83,0.53,0.66,0.43,0.53,0.59,0.01,0.5
62,0.54,0.53,0.7,0.13,0.0,0.0,0.57,0.73,0.85,0.57,0.64,0.07,0.53,0.63,0.0,0.19
63,0.53,0.53,0.65,0.25,0.0,0.0,0.52,0.79,0.79,0.55,0.78,0.31,0.53,0.72,0.01,0.51
64,0.52,0.53,0.6,0.34,0.0,0.0,0.57,0.72,0.67,0.56,0.59,0.14,0.53,0.62,0.01,0.47
65,0.53,0.53,0.58,0.31,0.0,0.0,0.53,0.62,0.72,0.54,0.56,0.2,0.53,0.63,0.02,0.52
66,0.53,0.53,0.53,0.44,0.01,0.0,0.5,0.57,0.79,0.75,0.95,0.14,0.53,0.66,0.01,0.37
67,0.53,0.53,0.76,0.18,0.0,0.01,0.57,0.78,0.86,0.77,0.99,0.48,0.53,0.58,0.05,0.53
68,0.53,0.53,0.61,0.26,0.0,0.0,0.54,0.66,0.59,0.53,0.59,0.15,0.53,0.76,0.02,0.42
69,0.54,0.53,0.69,0.19,0.0,0.0,0.57,0.79,0.86,0.53,0.75,0.49,0.53,0.78,0.02,0.51
70,0.53,0.53,0.48,0.34,0.0,0.01,0.57,0.68,0.86,0.8,0.97,0.32,0.53,0.47,0.0,0.2
71,0.52,0.53,0.69,0.28,0.0,0.0,0.54,0.65,0.85,0.73,0.84,0.44,0.53,0.64,0.0,0.51
72,0.55,0.53,0.59,0.24,0.0,0.0,0.52,0.68,0.84,0.54,0.53,0.4,0.53,0.72,0.0,0.52
73,0.52,0.53,0.65,0.3,0.0,0.0,0.54,0.73,0.85,0.54,0.54,0.49,0.53,0.7,0.01,0.52
74,0.53,0.53,0.6,0.38,0.01,0.0,0.54,0.62,0.7,0.53,0.53,0.49,0.53,0.78,0.0,0.42
75,0.57,0.53,0.7,0.08,0.0,0.0,0.54,0.74,0.87,0.53,0.79,0.55,0.53,0.65,0.03,0.53
76,0.54,0.53,0.56,0.39,0.0,0.0,0.56,0.79,0.85,0.56,0.69,0.39,0.53,0.71,0.0,0.51
77,0.52,0.53,0.57,0.24,0.0,0.0,0.52,0.66,0.74,0.59,0.56,0.16,0.53,0.74,0.01,0.43
78,0.54,0.53,0.61,0.47,0.0,0.0,0.52,0.65,0.82,0.84,0.99,0.7,0.53,0.59,0.0,0.49
79,0.52,0.53,0.63,0.34,0.0,0.0,0.54,0.75,0.81,0.53,0.6,0.62,0.53,0.71,0.02,0.53
80,0.54,0.53,0.57,0.26,0.0,0.0,0.57,0.62,0.59,0.53,0.53,0.29,0.53,0.58,0.0,0.35
81,0.56,0.53,0.75,0.28,0.0,0.0,0.54,0.72,0.84,0.56,0.74,0.3,0.53,0.7,0.0,0.47
82,0.54,0.53,0.78,0.25,0.0,0.0,0.56,0.76,0.82,0.55,0.82,0.34,0.53,0.62,0.02,0.44
83,0.53,0.53,0.53,0.24,0.0,0.0,0.54,0.77,0.8,0.53,0.58,0.23,0.53,0.71,0.02,0.51
84,0.54,0.53,0.68,0.34,0.0,0.0,0.51,0.75,0.83,0.55,0.72,0.33,0.53,0.61,0.0,0.43
85,0.53,0.53,0.68,0.26,0.0,0.0,0.55,0.74,0.82,0.53,0.67,0.22,0.53,0.31,0.0,0.32
86,0.55,0.53,0.69,0.16,0.0,0.01,0.55,0.74,0.78,0.55,0.8,0.12,0.53,0.78,0.06,0.48
87,0.57,0.53,0.66,0.15,0.0,0.0,0.53,0.74,0.84,0.58,0.7,0.1,0.53,0.59,0.0,0.44
88,0.52,0.53,0.61,0.38,0.0,0.0,0.54,0.7,0.76,0.55,0.6,0.4,0.53,0.66,0.0,0.5
89,0.54,0.53,0.75,0.28,0.0,0.0,0.56,0.84,0.85,0.53,0.82,0.23,0.53,0.64,0.01,0.46
90,0.5,0.53,0.64,0.14,0.0,0.0,0.59,0.78,0.9,0.63,0.88,0.0,0.53,0.31,0.0,0.26
91,0.2,0.51,0.64,0.31,0.02,0.0,0.49,0.69,0.83,0.54,0.53,0.32,0.5,0.2,0.0,0.24
92,0.15,0.47,0.73,0.07,0.01,0.0,0.0,0.77,0.82,0.53,0.53,0.14,0.03,0.07,0.0,0.02
93,0.17,0.52,0.69,0.34,0.25,0.18,0.0,0.6,0.52,0.54,0.67,0.01,0.53,0.18,0.15,0.42
94,0.0,0.52,0.67,0.09,0.0,0.0,0.61,0.82,0.82,0.53,0.53,0.24,0.0,0.07,0.0,0.0
95,0.44,0.53,0.62,0.57,0.0,0.0,0.55,0.57,0.68,0.54,0.53,0.41,0.53,0.36,0.09,0.47
96,0.52,0.53,0.77,0.29,0.0,0.0,0.54,0.79,0.81,0.54,0.78,0.23,0.53,0.66,0.02,0.47
97,0.55,0.53,0.76,0.2,0.0,0.0,0.63,0.7,0.84,0.56,0.66,0.24,0.53,0.25,0.01,0.29
98,0.54,0.53,0.64,0.32,0.0,0.0,0.55,0.69,0.85,0.63,0.96,0.4,0.53,0.72,0.02,0.53
99,0.51,0.53,0.79,0.29,0.0,0.0,0.57,0.72,0.83,0.55,0.74,0.37,0.53,0.41,0.0,0.44
100,0.55,0.53,0.58,0.43,0.0,0.0,0.52,0.66,0.8,0.54,0.6,0.46,0.53,0.68,0.02,0.44
101,0.57,0.53,0.68,0.22,0.0,0.0,0.52,0.75,0.68,0.54,0.53,0.34,0.53,0.31,0.01,0.5
102,0.56,0.53,0.71,0.12,0.0,0.0,0.6,0.71,0.83,0.56,0.74,0.13,0.53,0.53,0.01,0.51
103,0.48,0.53,0.57,0.56,0.0,0.01,0.52,0.58,0.58,0.53,0.53,0.43,0.53,0.51,0.01,0.21
104,0.56,0.53,0.74,0.33,0.0,0.0,0.55,0.57,0.84,0.54,0.57,0.23,0.53,0.69,0.01,0.39
105,0.55,0.53,0.78,0.12,0.0,0.0,0.54,0.65,0.83,0.53,0.56,0.12,0.52,0.62,0.0,0.4
106,0.52,0.53,0.57,0.3,0.0,0.0,0.5,0.57,0.68,0.53,0.53,0.23,0.53,0.62,0.01,0.36
107,0.54,0.53,0.68,0.05,0.0,0.0,0.52,0.65,0.79,0.59,0.74,0.0,0.46,0.58,0.01,0.01
108,0.54,0.53,0.69,0.26,0.0,0.0,0.54,0.58,0.75,0.53,0.54,0.51,0.53,0.22,0.0,0.31
109,0.52,0.53,0.56,0.26,0.0,0.0,0.53,0.53,0.68,0.53,0.53,0.43,0.53,0.71,0.01,0.47
110,0.58,0.53,0.73,0.28,0.0,0.0,0.53,0.68,0.78,0.54,0.68,0.27,0.53,0.82,0.04,0.38
111,0.53,0.53,0.58,0.2,0.0,0.0,0.45,0.58,0.77,0.53,0.53,0.04,0.46,0.41,0.0,0.06
112,0.59,0.53,0.7,0.18,0.0,0.0,0.58,0.76,0.88,0.55,0.86,0.18,0.53,0.71,0.0,0.18
113,0.52,0.53,0.78,0.34,0.0,0.0,0.57,0.78,0.93,0.95,0.99,0.55,0.53,0.47,0.0,0.51
114,0.52,0.53,0.57,0.29,0.0,0.0,0.56,0.64,0.82,0.53,0.54,0.48,0.53,0.65,0.0,0.49
115,0.52,0.53,0.69,0.24,0.0,0.0,0.56,0.63,0.8,0.81,0.9,0.41,0.53,0.58,0.0,0.5
116,0.57,0.53,0.7,0.12,0.0,0.0,0.56,0.78,0.88,0.53,0.72,0.12,0.53,0.78,0.0,0.26
117,0.5,0.53,0.72,0.06,0.0,0.0,0.56,0.81,0.78,0.53,0.61,0.04,0.53,0.7,0.0,0.4
118,0.55,0.53,0.81,0.1,0.0,0.0,0.53,0.77,0.83,0.53,0.67,0.03,0.53,0.55,0.0,0.42
119,0.53,0.53,0.62,0.27,0.0,0.0,0.54,0.69,0.76,0.53,0.53,0.05,0.53,0.71,0.0,0.34
120,0.55,0.53,0.58,0.18,0.0,0.0,0.58,0.72,0.73,0.53,0.53,0.27,0.53,0.67,0.0,0.49
121,0.54,0.53,0.62,0.31,0.0,0.0,0.53,0.72,0.71,0.53,0.62,0.15,0.53,0.84,0.04,0.43
122,0.54,0.53,0.69,0.12,0.0,0.0,0.57,0.82,0.88,0.55,0.84,0.22,0.53,0.6,0.0,0.32
123,0.53,0.53,0.71,0.26,0.0,0.01,0.56,0.85,0.72,0.53,0.62,0.12,0.53,0.28,0.0,0.4
124,0.53,0.53,0.63,0.29,0.0,0.0,0.53,0.73,0.65,0.53,0.58,0.27,0.53,0.62,0.0,0.44
125,0.54,0.53,0.61,0.13,0.0,0.0,0.6,0.73,0.72,0.54,0.53,0.08,0.53,0.42,0.0,0.26
126,0.53,0.53,0.55,0.17,0.0,0.0,0.57,0.68,0.69,0.53,0.54,0.21,0.53,0.58,0.0,0.46
127,0.53,0.53,0.58,0.53,0.0,0.0,0.61,0.73,0.63,0.53,0.53,0.47,0.53,0.56,0.0,0.47
128,0.57,0.53,0.76,0.36,0.0,0.0,0.59,0.82,0.77,0.53,0.65,0.09,0.53,0.67,0.0,0.39
129,0.55,0.53,0.72,0.28,0.0,0.0,0.56,0.73,0.81,0.53,0.7,0.43,0.53,0.54,0.0,0.48
130,0.51,0.53,0.58,0.22,0.0,0.0,0.54,0.66,0.6,0.53,0.53,0.13,0.53,0.59,0.01,0.51
131,0.54,0.53,0.67,0.04,0.0,0.0,0.52,0.78,0.68,0.53,0.64,0.02,0.53,0.62,0.0,0.17
132,0.52,0.53,0.74,0.21,0.0,0.0,0.54,0.8,0.67,0.53,0.64,0.08,0.53,0.56,0.01,0.32
133,0.57,0.53,0.74,0.24,0.0,0.0,0.54,0.74,0.68,0.53,0.6,0.32,0.53,0.28,0.01,0.31
134,0.55,0.53,0.58,0.37,0.0,0.0,0.56,0.72,0.58,0.53,0.58,0.03,0.53,0.62,0.02,0.46
135,0.56,0.53,0.72,0.28,0.0,0.0,0.56,0.83,0.72,0.53,0.68,0.4,0.53,0.17,0.05,0.4
136,0.53,0.53,0.55,0.61,0.0,0.0,0.56,0.59,0.72,0.53,0.53,0.49,0.53,0.52,0.03,0.31
137,0.52,0.53,0.65,0.18,0.02,0.0,0.55,0.69,0.87,0.53,0.54,0.46,0.53,0.75,0.0,0.53
138,0.55,0.53,0.71,0.21,0.0,0.01,0.48,0.73,0.87,0.53,0.7,0.49,0.53,0.77,0.05,0.52
139,0.53,0.53,0.59,0.2,0.0,0.0,0.6,0.78,0.84,0.55,0.55,0.45,0.53,0.74,0.0,0.49
140,0.54,0.55,0.46,0.56,0.0,0.0,0.55,0.69,0.83,0.75,1.0,0.46,0.53,0.47,0.0,0.28
141,0.53,0.53,0.66,0.25,0.0,0.0,0.54,0.65,0.82,0.53,0.69,0.37,0.53,0.65,0.05,0.49
142,0.5,0.53,0.66,0.3,0.0,0.0,0.53,0.78,0.63,0.53,0.54,0.21,0.53,0.41,0.01,0.19
143,0.52,0.53,0.57,0.3,0.0,0.0,0.59,0.67,0.73,0.53,0.56,0.21,0.53,0.62,0.03,0.42
144,0.57,0.53,0.68,0.14,0.0,0.0,0.53,0.75,0.75,0.53,0.65,0.29,0.53,0.25,0.0,0.32
145,0.53,0.53,0.6,0.25,0.0,0.0,0.52,0.62,0.63,0.53,0.61,0.15,0.53,0.6,0.07,0.42
146,0.54,0.53,0.47,0.38,0.0,0.0,0.54,0.58,0.79,0.89,0.99,0.3,0.53,0.47,0.0,0.36
147,0.53,0.53,0.73,0.3,0.0,0.0,0.53,0.71,0.87,0.54,0.59,0.42,0.53,0.67,0.0,0.48
148,0.53,0.53,0.63,0.23,0.0,0.0,0.51,0.69,0.84,0.67,0.71,0.41,0.53,0.84,0.0,0.54
149,0.56,0.53,0.68,0.14,0.0,0.0,0.51,0.79,0.87,0.54,0.74,0.01,0.53,0.71,0.0,0.39
150,0.55,0.53,0.75,0.37,0.0,0.0,0.54,0.67,0.8,0.55,0.67,0.25,0.53,0.68,0.0,0.51
151,0.53,0.53,0.67,0.11,0.0,0.0,0.63,0.73,0.81,0.58,0.75,0.11,0.53,0.54,0.0,0.37
152,0.52,0.53,0.58,0.2,0.0,0.0,0.58,0.67,0.85,0.54,0.63,0.29,0.53,0.76,0.0,0.53
153,0.55,0.53,0.69,0.05,0.0,0.0,0.58,0.81,0.83,0.53,0.81,0.02,0.53,0.54,0.0,0.17
154,0.56,0.53,0.67,0.24,0.0,0.0,0.56,0.74,0.8,0.53,0.65,0.14,0.53,0.59,0.0,0.39
155,0.52,0.53,0.6,0.28,0.01,0.0,0.58,0.68,0.81,0.54,0.55,0.43,0.53,0.59,0.0,0.46
156,0.53,0.53,0.6,0.32,0.01,0.0,0.48,0.61,0.79,0.54,0.53,0.42,0.53,0.74,0.0,0.5
157,0.55,0.53,0.75,0.2,0.01,0.0,0.51,0.67,0.75,0.55,0.63,0.06,0.53,0.72,0.0,0.32
158,0.55,0.53,0.63,0.11,0.0,0.0,0.57,0.82,0.89,0.53,0.71,0.17,0.53,0.8,0.0,0.3
159,0.59,0.53,0.74,0.34,0.0,0.0,0.55,0.8,0.82,0.53,0.68,0.49,0.53,0.83,0.01,0.51
160,0.52,0.53,0.74,0.08,0.0,0.0,0.55,0.69,0.86,0.53,0.62,0.18,0.53,0.61,0.0,0.46
161,0.55,0.53,0.6,0.55,0.0,0.0,0.54,0.69,0.81,0.53,0.53,0.48,0.53,0.67,0.0,0.49
162,0.51,0.53,0.76,0.13,0.0,0.0,0.52,0.75,0.92,0.53,0.66,0.07,0.53,0.56,0.0,0.35
163,0.52,0.53,0.59,0.25,0.0,0.0,0.59,0.71,0.67,0.58,0.58,0.11,0.53,0.63,0.01,0.49
164,0.45,0.53,0.75,0.14,0.0,0.0,0.57,0.7,0.85,0.54,0.68,0.01,0.53,0.62,0.0,0.44
165,0.55,0.53,0.75,0.34,0.0,0.0,0.53,0.7,0.84,0.53,0.7,0.17,0.53,0.59,0.01,0.48
166,0.53,0.53,0.72,0.38,0.0,0.0,0.54,0.67,0.94,0.98,1.0,0.48,0.53,0.48,0.01,0.43
167,0.55,0.53,0.73,0.28,0.0,0.0,0.53,0.84,0.82,0.56,0.79,0.23,0.53,0.67,0.01,0.47
168,0.53,0.53,0.59,0.36,0.0,0.0,0.52,0.72,0.72,0.59,0.57,0.26,0.53,0.61,0.01,0.53
169,0.56,0.53,0.68,0.28,0.0,0.0,0.53,0.77,0.87,0.57,0.76,0.43,0.53,0.44,0.0,0.21
170,0.53,0.53,0.48,0.4,0.0,0.0,0.53,0.73,0.75,0.65,0.92,0.12,0.53,0.47,0.04,0.21
171,0.55,0.53,0.66,0.29,0.0,0.0,0.53,0.74,0.84,0.56,0.74,0.2,0.53,0.81,0.0,0.46
172,0.53,0.53,0.57,0.34,0.0,0.0,0.59,0.7,0.57,0.53,0.53,0.0,0.53,0.55,0.01,0.24
173,0.52,0.53,0.59,0.2,0.0,0.0,0.56,0.73,0.61,0.53,0.53,0.01,0.53,0.58,0.01,0.28
174,0.53,0.53,0.53,0.27,0.01,0.0,0.51,0.87,0.6,0.53,0.53,0.0,0.53,0.71,0.02,0.35
175,0.52,0.53,0.57,0.25,0.0,0.0,0.53,0.73,0.63,0.53,0.6,0.05,0.53,0.58,0.01,0.32
176,0.52,0.53,0.63,0.47,0.0,0.0,0.52,0.64,0.7,0.53,0.72,0.06,0.53,0.58,0.01,0.27
177,0.53,0.53,0.55,0.26,0.0,0.0,0.52,0.63,0.6,0.53,0.59,0.07,0.53,0.8,0.02,0.42
178,0.53,0.53,0.47,0.45,0.0,0.0,0.52,0.54,0.55,0.53,0.63,0.38,0.53,0.61,0.05,0.25
179,0.52,0.53,0.6,0.25,0.0,0.0,0.5,0.61,0.6,0.53,0.53,0.0,0.53,0.57,0.02,0.19
180,0.52,0.53,0.56,0.33,0.0,0.0,0.55,0.73,0.64,0.54,0.55,0.27,0.53,0.59,0.0,0.51
181,0.55,0.53,0.73,0.24,0.01,0.0,0.52,0.61,0.66,0.53,0.59,0.44,0.53,0.64,0.01,0.42
182,0.53,0.53,0.53,0.32,0.0,0.0,0.57,0.56,0.55,0.53,0.53,0.0,0.53,0.56,0.03,0.24
183,0.52,0.53,0.57,0.39,0.0,0.0,0.55,0.6,0.64,0.54,0.53,0.02,0.53,0.59,0.0,0.33
184,0.55,0.53,0.73,0.15,0.0,0.0,0.59,0.67,0.84,0.54,0.7,0.56,0.53,0.78,0.02,0.5
185,0.53,0.53,0.56,0.26,0.0,0.0,0.5,0.7,0.6,0.53,0.53,0.02,0.53,0.58,0.02,0.47
186,0.53,0.53,0.71,0.18,0.0,0.0,0.53,0.71,0.72,0.54,0.67,0.06,0.53,0.57,0.01,0.36
187,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.09,0.0,0.0,0.01,0.0,0.0,0.01
188,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.07,0.23,0.0,0.0,0.05,0.0,0.0,0.0
189,0.53,0.53,0.51,0.47,0.71,0.63,0.52,0.57,0.67,0.53,0.53,0.46,0.52,0.48,0.01,0.52
190,0.58,0.54,0.47,0.53,0.76,0.6,0.58,0.72,0.9,0.53,0.53,0.39,0.53,0.41,0.5,0.51
191,0.5,0.53,0.57,0.42,0.52,0.48,0.51,0.59,0.72,0.53,0.58,0.4,0.54,0.47,0.57,0.55
192,0.43,0.52,0.22,0.44,0.34,0.48,0.48,0.53,0.54,0.52,0.54,0.45,0.53,0.43,0.12,0.54
193,0.55,0.53,0.45,0.35,0.31,0.52,0.56,0.62,0.66,0.53,0.53,0.46,0.53,0.47,0.03,0.53
194,0.35,0.49,0.45,0.38,0.21,0.0,0.47,0.52,0.51,0.45,0.54,0.24,0.01,0.01,0.06,0.03
195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,0.0,0.48,0.09,0.19,0.24,0.3,0.0,0.0,0.45,0.81,0.13,0.26,0.52,0.42,0.03,0.34
197,0.55,0.54,0.5,0.38,0.88,0.73,0.53,0.7,0.86,0.53,0.7,0.63,0.53,0.54,0.35,0.51
198,0.54,0.53,0.38,0.37,0.81,0.91,0.54,0.69,0.48,0.73,0.78,0.76,0.53,0.46,0.85,0.52
199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,0.06,0.0,0.23,0.14,0.22,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.01,0.0
201,0.48,0.51,0.08,0.54,0.43,0.47,0.52,0.51,0.55,0.53,0.53,0.33,0.53,0.37,0.16,0.46
202,0.59,0.53,0.37,0.46,0.69,0.84,0.54,0.68,0.79,0.68,0.55,0.46,0.53,0.5,0.56,0.53
203,0.0,0.51,0.0,0.47,0.0,0.0,0.53,0.54,0.51,0.55,0.0,0.0,0.0,0.18,0.0,0.0
204,0.54,0.53,0.44,0.4,0.71,0.48,0.54,0.71,0.84,0.53,0.53,0.77,0.53,0.52,0.52,0.6
205,0.53,0.52,0.33,0.46,0.35,0.48,0.5,0.53,0.55,0.52,0.58,0.36,0.53,0.4,0.08,0.52
206,0.51,0.53,0.53,0.43,0.47,0.49,0.46,0.62,0.76,0.53,0.53,0.47,0.53,0.47,0.68,0.53
