paraphrase idx,falcon-7b-instruct_acc,mpt-7b-instruct_acc,flan-t5-xl_acc,flan-t5-xxl_acc,t0pp_acc,alpaca-13b_acc,airoboros-13b_acc,nous-hermes-13b_acc,ultralm-13b_acc,vicuna-13b_acc,minotaur-15b_acc
31,0.21,0.17,0.3,0.47,0.09,0.26,0.28,0.23,0.03,0.33,0.11
32,0.18,0.12,0.35,0.48,0.09,0.22,0.28,0.32,0.27,0.43,0.23
33,0.18,0.26,0.32,0.5,0.13,0.26,0.27,0.28,0.01,0.35,0.2
34,0.32,0.11,0.39,0.55,0.1,0.24,0.26,0.36,0.21,0.37,0.09
35,0.24,0.06,0.38,0.53,0.09,0.26,0.24,0.26,0.28,0.37,0.23
36,0.21,0.16,0.24,0.47,0.09,0.21,0.28,0.3,0.26,0.29,0.19
37,0.23,0.06,0.36,0.48,0.08,0.22,0.22,0.3,0.25,0.37,0.2
38,0.2,0.0,0.35,0.5,0.04,0.23,0.24,0.34,0.17,0.27,0.17
39,0.16,0.02,0.32,0.51,0.11,0.29,0.23,0.36,0.28,0.22,0.25
40,0.17,0.25,0.29,0.51,0.13,0.24,0.27,0.34,0.02,0.28,0.17
41,0.2,0.18,0.37,0.52,0.08,0.25,0.26,0.33,0.27,0.37,0.24
42,0.25,0.1,0.27,0.6,0.05,0.21,0.24,0.33,0.17,0.35,0.06
43,0.17,0.2,0.29,0.49,0.13,0.26,0.22,0.36,0.19,0.32,0.13
44,0.27,0.05,0.38,0.55,0.08,0.24,0.24,0.32,0.3,0.36,0.11
45,0.17,0.06,0.36,0.49,0.09,0.24,0.25,0.28,0.27,0.34,0.16
46,0.21,0.19,0.31,0.55,0.06,0.25,0.3,0.28,0.3,0.38,0.02
47,0.2,0.05,0.33,0.53,0.06,0.26,0.24,0.25,0.26,0.21,0.25
48,0.19,0.02,0.34,0.52,0.11,0.2,0.31,0.31,0.28,0.43,0.13
49,0.29,0.16,0.34,0.53,0.08,0.22,0.28,0.3,0.31,0.27,0.25
50,0.24,0.12,0.34,0.6,0.07,0.23,0.28,0.27,0.31,0.35,0.25
51,0.22,0.21,0.32,0.51,0.1,0.27,0.3,0.28,0.26,0.39,0.16
52,0.21,0.22,0.36,0.48,0.1,0.24,0.27,0.37,0.21,0.35,0.19
53,0.24,0.09,0.31,0.52,0.05,0.26,0.02,0.36,0.19,0.34,0.09
54,0.19,0.12,0.35,0.48,0.05,0.27,0.02,0.39,0.0,0.37,0.0
55,0.15,0.08,0.32,0.49,0.09,0.28,0.22,0.37,0.17,0.3,0.2
56,0.16,0.04,0.3,0.46,0.1,0.28,0.22,0.39,0.21,0.39,0.16
57,0.16,0.12,0.39,0.49,0.06,0.24,0.26,0.35,0.06,0.39,0.14
58,0.15,0.07,0.32,0.51,0.09,0.26,0.19,0.34,0.14,0.36,0.18
59,0.23,0.09,0.4,0.51,0.1,0.28,0.23,0.38,0.25,0.39,0.13
60,0.17,0.06,0.36,0.49,0.1,0.24,0.25,0.35,0.22,0.34,0.2
61,0.21,0.04,0.28,0.49,0.08,0.25,0.22,0.33,0.0,0.37,0.13
62,0.17,0.24,0.32,0.51,0.07,0.25,0.19,0.41,0.11,0.37,0.21
63,0.21,0.23,0.41,0.48,0.06,0.25,0.28,0.36,0.0,0.33,0.11
64,0.13,0.05,0.39,0.51,0.09,0.26,0.17,0.35,0.09,0.4,0.12
65,0.15,0.25,0.31,0.46,0.08,0.26,0.24,0.4,0.21,0.37,0.08
66,0.21,0.18,0.36,0.45,0.09,0.25,0.2,0.34,0.07,0.31,0.12
67,0.17,0.19,0.33,0.48,0.07,0.25,0.27,0.4,0.09,0.37,0.14
68,0.24,0.05,0.31,0.5,0.06,0.24,0.25,0.26,0.17,0.37,0.15
69,0.15,0.18,0.28,0.52,0.17,0.29,0.24,0.35,0.25,0.41,0.08
70,0.15,0.02,0.39,0.51,0.11,0.27,0.11,0.36,0.06,0.32,0.14
71,0.19,0.23,0.37,0.44,0.09,0.26,0.25,0.36,0.23,0.32,0.15
72,0.15,0.09,0.43,0.53,0.08,0.28,0.13,0.35,0.17,0.31,0.17
73,0.16,0.24,0.35,0.54,0.17,0.25,0.25,0.41,0.23,0.41,0.13
74,0.25,0.2,0.35,0.5,0.1,0.24,0.22,0.34,0.22,0.32,0.13
75,0.18,0.26,0.36,0.46,0.11,0.21,0.27,0.33,0.13,0.38,0.2
76,0.19,0.28,0.27,0.46,0.07,0.22,0.25,0.26,0.12,0.39,0.23
77,0.22,0.22,0.32,0.47,0.07,0.23,0.25,0.3,0.0,0.39,0.12
78,0.2,0.25,0.3,0.47,0.1,0.23,0.29,0.3,0.08,0.37,0.18
79,0.18,0.2,0.37,0.5,0.1,0.26,0.25,0.37,0.21,0.3,0.14
80,0.17,0.1,0.35,0.49,0.08,0.27,0.11,0.38,0.27,0.32,0.18
81,0.19,0.11,0.24,0.54,0.05,0.26,0.13,0.33,0.25,0.39,0.13
82,0.21,0.11,0.35,0.52,0.16,0.26,0.24,0.34,0.23,0.38,0.17
83,0.2,0.23,0.37,0.45,0.12,0.26,0.25,0.35,0.26,0.28,0.14
84,0.26,0.08,0.37,0.52,0.08,0.28,0.09,0.39,0.28,0.52,0.17
85,0.2,0.13,0.4,0.51,0.05,0.3,0.2,0.36,0.24,0.39,0.12
86,0.2,0.2,0.32,0.47,0.17,0.27,0.24,0.38,0.24,0.37,0.17
87,0.18,0.08,0.35,0.44,0.05,0.25,0.18,0.33,0.16,0.33,0.1
88,0.2,0.12,0.33,0.56,0.07,0.26,0.0,0.34,0.2,0.31,0.0
89,0.19,0.14,0.32,0.49,0.06,0.24,0.01,0.34,0.0,0.31,0.01
90,0.25,0.16,0.31,0.53,0.05,0.25,0.12,0.14,0.01,0.34,0.09
91,0.22,0.08,0.33,0.5,0.06,0.25,0.01,0.36,0.23,0.36,0.0
92,0.24,0.12,0.3,0.56,0.11,0.27,0.24,0.36,0.24,0.3,0.07
93,0.27,0.1,0.36,0.56,0.11,0.26,0.25,0.35,0.18,0.3,0.04
94,0.2,0.05,0.33,0.56,0.1,0.24,0.25,0.36,0.25,0.31,0.06
95,0.28,0.12,0.32,0.58,0.11,0.25,0.26,0.4,0.28,0.35,0.07
96,0.25,0.19,0.32,0.62,0.12,0.25,0.26,0.39,0.24,0.33,0.08
97,0.25,0.12,0.27,0.57,0.1,0.27,0.25,0.37,0.27,0.31,0.03
98,0.26,0.1,0.35,0.56,0.1,0.23,0.25,0.38,0.27,0.28,0.09
99,0.28,0.08,0.39,0.57,0.1,0.27,0.25,0.37,0.25,0.3,0.02
100,0.22,0.15,0.29,0.52,0.07,0.27,0.26,0.37,0.26,0.37,0.22
101,0.22,0.16,0.25,0.58,0.11,0.25,0.25,0.38,0.23,0.25,0.03
102,0.2,0.21,0.3,0.61,0.07,0.25,0.28,0.31,0.28,0.34,0.01
103,0.22,0.2,0.25,0.52,0.1,0.22,0.25,0.36,0.25,0.3,0.14
104,0.24,0.18,0.28,0.54,0.09,0.3,0.26,0.36,0.27,0.29,0.05
105,0.24,0.1,0.29,0.58,0.12,0.29,0.25,0.37,0.24,0.29,0.05
106,0.27,0.15,0.31,0.58,0.07,0.23,0.26,0.34,0.19,0.24,0.06
107,0.29,0.12,0.33,0.53,0.08,0.24,0.23,0.32,0.22,0.26,0.04
108,0.18,0.18,0.26,0.46,0.01,0.23,0.26,0.4,0.31,0.38,0.09
109,0.28,0.24,0.23,0.25,0.0,0.26,0.28,0.03,0.0,0.26,0.0
110,0.19,0.09,0.36,0.54,0.01,0.21,0.25,0.0,0.0,0.11,0.05
111,0.2,0.21,0.22,0.39,0.0,0.25,0.27,0.4,0.3,0.26,0.0
112,0.23,0.2,0.2,0.47,0.06,0.24,0.26,0.33,0.23,0.36,0.39
113,0.29,0.23,0.18,0.45,0.09,0.29,0.25,0.3,0.27,0.24,0.39
114,0.24,0.2,0.27,0.5,0.01,0.26,0.25,0.38,0.23,0.32,0.13
115,0.2,0.22,0.24,0.53,0.08,0.21,0.26,0.38,0.3,0.32,0.01
116,0.25,0.27,0.25,0.52,0.08,0.3,0.26,0.36,0.32,0.31,0.01
117,0.26,0.24,0.29,0.5,0.05,0.2,0.24,0.41,0.31,0.35,0.17
118,0.26,0.21,0.2,0.51,0.04,0.24,0.26,0.4,0.24,0.35,0.1
119,0.29,0.18,0.21,0.53,0.02,0.27,0.26,0.39,0.26,0.32,0.02
120,0.23,0.13,0.34,0.57,0.08,0.27,0.27,0.34,0.28,0.22,0.33
121,0.05,0.28,0.27,0.29,0.04,0.22,0.26,0.11,0.0,0.22,0.05
122,0.26,0.22,0.37,0.49,0.1,0.28,0.23,0.34,0.29,0.37,0.3
123,0.0,0.25,0.26,0.47,0.02,0.21,0.26,0.17,0.0,0.21,0.15
124,0.2,0.01,0.34,0.53,0.11,0.27,0.25,0.35,0.33,0.32,0.01
125,0.19,0.19,0.34,0.52,0.08,0.24,0.26,0.36,0.33,0.38,0.02
126,0.25,0.15,0.29,0.6,0.1,0.31,0.26,0.36,0.25,0.31,0.03
127,0.25,0.12,0.31,0.56,0.11,0.27,0.25,0.36,0.26,0.27,0.05
128,0.23,0.19,0.22,0.6,0.07,0.3,0.25,0.33,0.24,0.34,0.0
129,0.25,0.22,0.27,0.65,0.11,0.32,0.25,0.35,0.21,0.34,0.02
130,0.26,0.03,0.38,0.56,0.07,0.27,0.25,0.37,0.25,0.25,0.33
131,0.2,0.26,0.26,0.6,0.11,0.26,0.27,0.33,0.28,0.43,0.0
132,0.23,0.05,0.29,0.5,0.1,0.29,0.28,0.39,0.23,0.36,0.13
133,0.26,0.21,0.32,0.61,0.09,0.25,0.25,0.37,0.18,0.43,0.01
134,0.23,0.17,0.26,0.56,0.12,0.26,0.26,0.29,0.26,0.29,0.07
135,0.22,0.16,0.22,0.6,0.13,0.27,0.25,0.37,0.15,0.45,0.01
136,0.22,0.17,0.24,0.56,0.09,0.25,0.25,0.34,0.29,0.28,0.06
137,0.27,0.24,0.23,0.58,0.12,0.24,0.25,0.32,0.25,0.29,0.0
138,0.28,0.15,0.28,0.54,0.1,0.27,0.26,0.34,0.23,0.23,0.03
139,0.25,0.14,0.33,0.6,0.12,0.27,0.25,0.4,0.24,0.26,0.34
140,0.23,0.17,0.29,0.57,0.11,0.29,0.25,0.37,0.23,0.34,0.06
141,0.26,0.04,0.18,0.52,0.08,0.25,0.25,0.28,0.25,0.24,0.06
142,0.21,0.04,0.29,0.52,0.02,0.29,0.25,0.4,0.22,0.3,0.33
143,0.2,0.0,0.41,0.54,0.05,0.31,0.25,0.27,0.33,0.25,0.16
144,0.23,0.13,0.31,0.46,0.09,0.3,0.27,0.34,0.26,0.33,0.05
145,0.21,0.18,0.3,0.53,0.14,0.28,0.25,0.32,0.04,0.31,0.03
146,0.29,0.04,0.19,0.52,0.1,0.26,0.27,0.33,0.25,0.33,0.31
147,0.27,0.06,0.34,0.49,0.08,0.23,0.25,0.33,0.29,0.28,0.35
148,0.3,0.05,0.36,0.5,0.05,0.31,0.29,0.38,0.26,0.33,0.07
149,0.21,0.22,0.25,0.59,0.09,0.24,0.24,0.31,0.23,0.41,0.01
150,0.28,0.21,0.23,0.51,0.06,0.26,0.26,0.39,0.3,0.31,0.04
151,0.22,0.21,0.26,0.53,0.05,0.3,0.27,0.4,0.25,0.27,0.01
152,0.16,0.24,0.23,0.51,0.07,0.26,0.26,0.41,0.22,0.4,0.0
153,0.28,0.14,0.38,0.53,0.08,0.26,0.27,0.32,0.23,0.29,0.01
154,0.23,0.09,0.2,0.54,0.08,0.27,0.25,0.41,0.22,0.4,0.0
155,0.23,0.14,0.33,0.51,0.06,0.22,0.28,0.41,0.26,0.29,0.01
156,0.25,0.21,0.28,0.57,0.05,0.22,0.28,0.39,0.28,0.37,0.0
157,0.25,0.08,0.34,0.54,0.02,0.22,0.23,0.37,0.2,0.37,0.34
