paraphrase idx,falcon-7b-instruct_acc,mpt-7b-instruct_acc,flan-t5-xl_acc,flan-t5-xxl_acc,t0pp_acc,alpaca-13b_acc,airoboros-13b_acc,nous-hermes-13b_acc,ultralm-13b_acc,vicuna-13b_acc,minotaur-15b_acc
22,0.1,0.06,0.23,0.34,0.21,0.12,0.31,0.13,0.0,0.27,0.08
23,0.09,0.08,0.17,0.32,0.23,0.12,0.37,0.27,0.0,0.34,0.11
24,0.08,0.04,0.26,0.38,0.22,0.12,0.33,0.26,0.0,0.27,0.07
25,0.14,0.13,0.28,0.37,0.22,0.15,0.34,0.22,0.0,0.37,0.07
26,0.11,0.09,0.2,0.33,0.23,0.12,0.36,0.16,0.0,0.37,0.07
27,0.11,0.06,0.27,0.32,0.35,0.12,0.36,0.11,0.0,0.23,0.12
28,0.12,0.01,0.19,0.34,0.3,0.12,0.33,0.1,0.0,0.27,0.08
29,0.1,0.08,0.29,0.33,0.32,0.12,0.38,0.08,0.0,0.25,0.08
30,0.17,0.06,0.33,0.4,0.34,0.12,0.4,0.05,0.0,0.21,0.09
31,0.12,0.02,0.28,0.34,0.32,0.12,0.36,0.06,0.0,0.27,0.05
32,0.12,0.06,0.29,0.4,0.28,0.12,0.36,0.06,0.0,0.27,0.08
33,0.07,0.09,0.29,0.37,0.38,0.12,0.34,0.11,0.0,0.19,0.12
34,0.11,0.05,0.19,0.28,0.28,0.12,0.34,0.09,0.0,0.23,0.09
35,0.12,0.01,0.21,0.34,0.31,0.12,0.31,0.1,0.0,0.23,0.09
36,0.1,0.03,0.18,0.27,0.23,0.12,0.38,0.02,0.0,0.35,0.0
37,0.12,0.02,0.2,0.34,0.3,0.12,0.37,0.09,0.0,0.25,0.08
38,0.04,0.01,0.19,0.28,0.25,0.12,0.31,0.14,0.0,0.26,0.04
39,0.1,0.04,0.23,0.37,0.23,0.12,0.35,0.02,0.0,0.29,0.08
40,0.11,0.07,0.24,0.36,0.32,0.12,0.35,0.06,0.01,0.24,0.03
41,0.11,0.02,0.28,0.35,0.26,0.12,0.34,0.03,0.0,0.26,0.07
42,0.16,0.02,0.28,0.32,0.2,0.12,0.37,0.08,0.0,0.24,0.07
43,0.13,0.06,0.21,0.38,0.29,0.12,0.38,0.06,0.0,0.29,0.07
44,0.09,0.08,0.14,0.35,0.26,0.12,0.37,0.06,0.0,0.25,0.03
45,0.07,0.08,0.26,0.44,0.21,0.12,0.29,0.08,0.04,0.19,0.11
46,0.14,0.09,0.28,0.37,0.29,0.12,0.44,0.08,0.0,0.21,0.03
47,0.1,0.06,0.26,0.35,0.27,0.12,0.38,0.04,0.0,0.26,0.01
48,0.15,0.01,0.29,0.42,0.25,0.12,0.29,0.0,0.0,0.24,0.01
49,0.11,0.03,0.15,0.31,0.3,0.12,0.35,0.11,0.0,0.27,0.07
50,0.1,0.05,0.3,0.37,0.32,0.12,0.4,0.05,0.0,0.32,0.08
51,0.09,0.0,0.24,0.38,0.2,0.12,0.25,0.01,0.0,0.31,0.01
52,0.11,0.08,0.29,0.33,0.2,0.12,0.29,0.0,0.0,0.36,0.0
53,0.17,0.03,0.24,0.21,0.11,0.12,0.33,0.02,0.0,0.3,0.02
54,0.13,0.01,0.27,0.27,0.12,0.12,0.28,0.02,0.0,0.36,0.0
55,0.14,0.04,0.26,0.22,0.12,0.12,0.25,0.0,0.0,0.35,0.01
56,0.08,0.05,0.29,0.33,0.15,0.12,0.29,0.0,0.0,0.32,0.04
57,0.02,0.07,0.25,0.28,0.13,0.12,0.31,0.0,0.0,0.32,0.0
58,0.09,0.05,0.31,0.18,0.17,0.12,0.32,0.0,0.0,0.33,0.03
59,0.16,0.09,0.29,0.24,0.12,0.12,0.28,0.0,0.0,0.36,0.0
60,0.14,0.06,0.28,0.17,0.13,0.12,0.32,0.01,0.0,0.34,0.01
61,0.08,0.03,0.28,0.22,0.11,0.12,0.26,0.0,0.0,0.34,0.0
62,0.12,0.08,0.3,0.34,0.16,0.12,0.32,0.01,0.0,0.38,0.03
63,0.08,0.04,0.3,0.32,0.12,0.12,0.36,0.01,0.0,0.33,0.02
64,0.11,0.15,0.29,0.27,0.13,0.12,0.16,0.06,0.0,0.3,0.01
65,0.07,0.07,0.27,0.36,0.16,0.12,0.32,0.01,0.0,0.41,0.01
66,0.31,0.26,0.3,0.25,0.12,0.38,0.26,0.23,0.0,0.33,0.0
67,0.13,0.02,0.26,0.19,0.14,0.12,0.36,0.01,0.0,0.34,0.02
68,0.15,0.08,0.28,0.32,0.14,0.12,0.23,0.01,0.0,0.37,0.0
69,0.11,0.04,0.3,0.21,0.17,0.12,0.32,0.0,0.0,0.34,0.03
70,0.12,0.08,0.21,0.2,0.13,0.12,0.33,0.01,0.0,0.33,0.0
71,0.1,0.08,0.34,0.25,0.11,0.12,0.34,0.0,0.0,0.32,0.06
72,0.08,0.05,0.34,0.33,0.13,0.12,0.29,0.0,0.0,0.36,0.0
73,0.06,0.06,0.21,0.28,0.12,0.12,0.21,0.0,0.0,0.29,0.0
74,0.06,0.07,0.33,0.14,0.12,0.12,0.29,0.01,0.0,0.36,0.0
75,0.13,0.07,0.2,0.27,0.12,0.12,0.02,0.02,0.0,0.33,0.0
76,0.13,0.06,0.3,0.34,0.17,0.12,0.31,0.0,0.0,0.38,0.02
77,0.08,0.04,0.3,0.28,0.11,0.12,0.33,0.02,0.0,0.34,0.0
78,0.11,0.05,0.31,0.28,0.11,0.12,0.27,0.02,0.0,0.38,0.01
79,0.08,0.07,0.18,0.22,0.11,0.12,0.31,0.08,0.0,0.39,0.0
80,0.09,0.04,0.29,0.42,0.15,0.12,0.3,0.0,0.0,0.36,0.01
81,0.13,0.09,0.22,0.26,0.14,0.12,0.27,0.01,0.0,0.31,0.03
82,0.12,0.05,0.32,0.33,0.1,0.12,0.29,0.0,0.0,0.29,0.0
83,0.12,0.08,0.3,0.29,0.12,0.12,0.35,0.0,0.0,0.36,0.0
84,0.09,0.07,0.31,0.12,0.15,0.15,0.29,0.01,0.0,0.36,0.0
85,0.05,0.1,0.27,0.25,0.12,0.12,0.34,0.0,0.0,0.37,0.0
86,0.09,0.06,0.31,0.35,0.15,0.12,0.23,0.0,0.0,0.28,0.0
87,0.07,0.05,0.24,0.26,0.13,0.12,0.32,0.0,0.0,0.3,0.0
88,0.06,0.08,0.32,0.26,0.11,0.12,0.3,0.0,0.0,0.35,0.03
89,0.21,0.05,0.32,0.31,0.11,0.12,0.3,0.0,0.0,0.32,0.01
90,0.08,0.09,0.3,0.32,0.13,0.12,0.3,0.01,0.0,0.38,0.01
91,0.31,0.31,0.29,0.24,0.13,0.4,0.29,0.3,0.0,0.29,0.01
92,0.12,0.14,0.3,0.28,0.13,0.12,0.36,0.0,0.0,0.36,0.0
93,0.08,0.08,0.32,0.24,0.13,0.12,0.35,0.04,0.0,0.34,0.03
94,0.07,0.09,0.28,0.36,0.16,0.12,0.32,0.01,0.0,0.35,0.01
95,0.1,0.09,0.2,0.23,0.13,0.13,0.32,0.02,0.0,0.32,0.04
96,0.08,0.12,0.22,0.38,0.13,0.12,0.35,0.02,0.0,0.42,0.01
97,0.15,0.03,0.17,0.28,0.16,0.12,0.35,0.01,0.0,0.4,0.0
98,0.09,0.06,0.31,0.34,0.12,0.12,0.38,0.06,0.0,0.37,0.01
99,0.09,0.05,0.24,0.24,0.12,0.12,0.28,0.0,0.0,0.28,0.0
100,0.04,0.09,0.23,0.21,0.13,0.12,0.37,0.07,0.0,0.35,0.0
101,0.11,0.09,0.31,0.3,0.14,0.12,0.32,0.0,0.0,0.37,0.01
102,0.16,0.07,0.31,0.23,0.12,0.12,0.32,0.0,0.0,0.33,0.0
103,0.1,0.03,0.28,0.19,0.12,0.12,0.32,0.0,0.0,0.36,0.04
104,0.07,0.1,0.28,0.26,0.15,0.12,0.36,0.02,0.0,0.38,0.0
105,0.12,0.11,0.27,0.25,0.13,0.12,0.23,0.0,0.0,0.33,0.0
106,0.13,0.07,0.31,0.38,0.18,0.12,0.27,0.0,0.0,0.32,0.0
107,0.11,0.06,0.22,0.21,0.14,0.12,0.33,0.16,0.0,0.16,0.09
108,0.23,0.09,0.3,0.12,0.04,0.16,0.38,0.15,0.0,0.28,0.0
109,0.24,0.16,0.38,0.18,0.01,0.19,0.31,0.14,0.0,0.35,0.0
110,0.14,0.06,0.18,0.17,0.11,0.12,0.35,0.17,0.03,0.15,0.11
111,0.15,0.06,0.2,0.22,0.12,0.12,0.33,0.18,0.09,0.21,0.1
112,0.25,0.19,0.34,0.16,0.01,0.24,0.37,0.15,0.0,0.27,0.06
113,0.16,0.01,0.17,0.23,0.1,0.12,0.39,0.15,0.08,0.12,0.11
114,0.2,0.06,0.21,0.28,0.17,0.12,0.31,0.14,0.0,0.25,0.11
115,0.13,0.1,0.2,0.23,0.06,0.12,0.35,0.17,0.12,0.19,0.11
116,0.12,0.07,0.26,0.27,0.09,0.12,0.33,0.16,0.12,0.24,0.09
117,0.15,0.09,0.22,0.18,0.18,0.12,0.29,0.2,0.05,0.14,0.12
118,0.16,0.02,0.23,0.34,0.02,0.12,0.37,0.18,0.11,0.21,0.11
119,0.28,0.04,0.24,0.23,0.19,0.12,0.3,0.18,0.01,0.24,0.09
120,0.31,0.17,0.26,0.15,0.1,0.29,0.25,0.01,0.0,0.24,0.0
121,0.26,0.03,0.11,0.13,0.07,0.12,0.15,0.13,0.02,0.06,0.08
122,0.19,0.04,0.1,0.12,0.09,0.12,0.22,0.09,0.01,0.11,0.08
123,0.17,0.13,0.23,0.34,0.04,0.13,0.26,0.06,0.0,0.16,0.04
124,0.15,0.08,0.2,0.23,0.15,0.12,0.32,0.19,0.0,0.21,0.11
125,0.12,0.13,0.29,0.19,0.0,0.12,0.4,0.12,0.0,0.28,0.06
126,0.2,0.17,0.19,0.21,0.0,0.12,0.33,0.04,0.0,0.2,0.02
127,0.09,0.12,0.27,0.2,0.1,0.12,0.35,0.1,0.0,0.18,0.09
128,0.13,0.1,0.27,0.21,0.02,0.12,0.39,0.06,0.0,0.29,0.03
129,0.14,0.05,0.3,0.29,0.05,0.12,0.37,0.11,0.02,0.25,0.09
130,0.09,0.16,0.12,0.17,0.01,0.12,0.3,0.0,0.01,0.28,0.01
131,0.17,0.16,0.14,0.08,0.11,0.12,0.38,0.15,0.0,0.24,0.04
132,0.13,0.11,0.18,0.09,0.1,0.12,0.32,0.03,0.0,0.3,0.01
133,0.17,0.05,0.24,0.15,0.01,0.12,0.42,0.16,0.07,0.26,0.1
134,0.19,0.07,0.25,0.15,0.0,0.12,0.42,0.18,0.03,0.2,0.11
135,0.16,0.19,0.15,0.21,0.02,0.12,0.33,0.04,0.01,0.35,0.07
136,0.11,0.09,0.29,0.25,0.02,0.12,0.38,0.04,0.0,0.25,0.0
137,0.14,0.11,0.23,0.24,0.0,0.12,0.35,0.08,0.0,0.25,0.08
138,0.09,0.11,0.18,0.21,0.04,0.12,0.38,0.14,0.0,0.23,0.1
139,0.15,0.1,0.3,0.11,0.15,0.12,0.39,0.07,0.0,0.26,0.1
140,0.34,0.09,0.29,0.15,0.13,0.12,0.34,0.2,0.0,0.2,0.07
141,0.17,0.09,0.16,0.24,0.19,0.12,0.25,0.15,0.0,0.24,0.09
142,0.17,0.05,0.16,0.16,0.05,0.12,0.35,0.17,0.08,0.23,0.11
143,0.13,0.05,0.25,0.24,0.1,0.12,0.38,0.17,0.05,0.21,0.1
144,0.14,0.03,0.19,0.26,0.0,0.12,0.38,0.14,0.1,0.22,0.11
145,0.25,0.09,0.27,0.27,0.06,0.23,0.38,0.22,0.0,0.32,0.09
146,0.28,0.12,0.26,0.16,0.0,0.23,0.37,0.17,0.01,0.25,0.06
147,0.28,0.21,0.31,0.18,0.02,0.24,0.39,0.15,0.01,0.28,0.01
148,0.12,0.1,0.2,0.28,0.14,0.12,0.27,0.15,0.0,0.2,0.12
149,0.17,0.06,0.18,0.22,0.14,0.12,0.3,0.16,0.0,0.23,0.04
150,0.12,0.13,0.29,0.26,0.05,0.12,0.31,0.14,0.09,0.19,0.09
151,0.12,0.13,0.22,0.3,0.12,0.12,0.16,0.09,0.0,0.12,0.04
152,0.28,0.14,0.33,0.24,0.07,0.24,0.33,0.25,0.0,0.29,0.11
153,0.28,0.11,0.29,0.21,0.09,0.27,0.36,0.2,0.0,0.31,0.11
154,0.16,0.11,0.22,0.25,0.08,0.12,0.34,0.19,0.02,0.32,0.02
155,0.31,0.08,0.22,0.21,0.15,0.12,0.31,0.14,0.01,0.19,0.11
156,0.25,0.09,0.11,0.11,0.09,0.12,0.14,0.09,0.03,0.04,0.1
157,0.14,0.06,0.19,0.17,0.08,0.12,0.31,0.21,0.01,0.14,0.03
158,0.12,0.03,0.22,0.27,0.11,0.13,0.24,0.15,0.0,0.31,0.0
159,0.3,0.09,0.29,0.38,0.12,0.12,0.35,0.17,0.09,0.21,0.11
160,0.29,0.06,0.25,0.31,0.12,0.12,0.36,0.13,0.08,0.18,0.11
161,0.36,0.04,0.22,0.3,0.11,0.12,0.4,0.16,0.12,0.26,0.12
162,0.29,0.01,0.24,0.37,0.08,0.12,0.3,0.0,0.0,0.32,0.0
163,0.14,0.03,0.26,0.16,0.0,0.12,0.38,0.1,0.07,0.2,0.08
164,0.34,0.18,0.11,0.21,0.04,0.35,0.21,0.0,0.0,0.4,0.0
165,0.26,0.0,0.33,0.22,0.11,0.23,0.37,0.13,0.0,0.27,0.0
166,0.23,0.03,0.26,0.24,0.17,0.12,0.39,0.18,0.09,0.2,0.09
167,0.23,0.09,0.24,0.19,0.1,0.12,0.35,0.16,0.04,0.16,0.04
168,0.21,0.02,0.3,0.29,0.09,0.12,0.37,0.12,0.05,0.15,0.07
169,0.21,0.02,0.2,0.3,0.04,0.12,0.34,0.12,0.11,0.3,0.12
170,0.3,0.06,0.28,0.27,0.15,0.12,0.38,0.14,0.08,0.26,0.09
171,0.16,0.11,0.22,0.3,0.06,0.12,0.39,0.14,0.02,0.3,0.08
172,0.29,0.04,0.33,0.34,0.16,0.12,0.35,0.15,0.11,0.24,0.12
173,0.21,0.0,0.32,0.34,0.03,0.12,0.12,0.0,0.0,0.23,0.0
174,0.28,0.16,0.12,0.17,0.06,0.35,0.19,0.0,0.0,0.39,0.0
175,0.26,0.01,0.18,0.26,0.04,0.12,0.44,0.17,0.05,0.17,0.1
176,0.09,0.06,0.17,0.28,0.05,0.12,0.36,0.13,0.01,0.21,0.1
177,0.31,0.1,0.33,0.15,0.04,0.24,0.36,0.21,0.0,0.27,0.03
178,0.31,0.0,0.13,0.16,0.18,0.3,0.38,0.03,0.2,0.39,0.05
