paraphrase idx,falcon-7b-instruct_acc,mpt-7b-instruct_acc,flan-t5-xl_acc,flan-t5-xxl_acc,t0pp_acc,alpaca-13b_acc,airoboros-13b_acc,nous-hermes-13b_acc,ultralm-13b_acc,vicuna-13b_acc,minotaur-15b_acc
24,0.52,0.33,0.64,0.66,0.29,0.56,0.57,0.55,0.54,0.44,0.13
25,0.47,0.38,0.64,0.6,0.28,0.56,0.56,0.58,0.58,0.44,0.05
26,0.44,0.45,0.63,0.73,0.1,0.56,0.48,0.01,0.01,0.51,0.0
27,0.49,0.34,0.61,0.61,0.22,0.56,0.58,0.58,0.51,0.52,0.13
28,0.48,0.36,0.66,0.7,0.3,0.56,0.57,0.53,0.63,0.43,0.1
29,0.51,0.44,0.62,0.69,0.21,0.56,0.56,0.54,0.55,0.41,0.05
30,0.52,0.32,0.6,0.64,0.27,0.56,0.56,0.58,0.48,0.46,0.1
31,0.54,0.4,0.59,0.71,0.28,0.56,0.57,0.54,0.58,0.48,0.03
32,0.45,0.34,0.66,0.7,0.21,0.56,0.57,0.53,0.63,0.47,0.22
33,0.61,0.29,0.58,0.67,0.24,0.56,0.56,0.52,0.57,0.45,0.05
34,0.56,0.35,0.61,0.63,0.22,0.56,0.56,0.56,0.34,0.41,0.15
35,0.53,0.38,0.63,0.67,0.25,0.56,0.56,0.59,0.62,0.45,0.13
36,0.5,0.1,0.61,0.73,0.21,0.56,0.59,0.54,0.55,0.48,0.0
37,0.55,0.3,0.56,0.66,0.27,0.56,0.57,0.55,0.6,0.45,0.05
38,0.6,0.23,0.57,0.69,0.23,0.56,0.56,0.57,0.56,0.43,0.12
39,0.56,0.3,0.57,0.62,0.31,0.56,0.56,0.56,0.6,0.53,0.12
40,0.53,0.25,0.61,0.69,0.17,0.56,0.55,0.5,0.56,0.4,0.01
41,0.49,0.2,0.65,0.67,0.26,0.56,0.56,0.66,0.59,0.44,0.1
42,0.46,0.29,0.63,0.7,0.29,0.56,0.58,0.64,0.61,0.44,0.11
43,0.49,0.36,0.58,0.66,0.33,0.56,0.56,0.65,0.56,0.54,0.11
44,0.46,0.41,0.59,0.7,0.17,0.59,0.58,0.73,0.54,0.41,0.13
45,0.36,0.19,0.57,0.62,0.15,0.49,0.58,0.41,0.09,0.46,0.38
46,0.45,0.33,0.59,0.63,0.11,0.52,0.62,0.45,0.45,0.43,0.42
47,0.5,0.32,0.55,0.61,0.16,0.56,0.62,0.62,0.56,0.47,0.41
48,0.46,0.34,0.67,0.68,0.12,0.56,0.56,0.46,0.42,0.42,0.39
49,0.46,0.2,0.6,0.61,0.11,0.61,0.62,0.57,0.09,0.49,0.41
50,0.44,0.35,0.54,0.7,0.12,0.54,0.62,0.46,0.26,0.45,0.34
51,0.44,0.36,0.57,0.66,0.17,0.57,0.61,0.45,0.58,0.44,0.36
52,0.45,0.07,0.64,0.6,0.14,0.58,0.54,0.4,0.31,0.51,0.35
53,0.46,0.2,0.63,0.66,0.12,0.58,0.58,0.51,0.54,0.49,0.38
54,0.42,0.19,0.66,0.56,0.14,0.57,0.5,0.29,0.27,0.44,0.18
55,0.43,0.23,0.61,0.63,0.15,0.55,0.55,0.53,0.48,0.45,0.39
56,0.44,0.15,0.65,0.6,0.14,0.55,0.6,0.52,0.46,0.43,0.35
57,0.43,0.16,0.64,0.64,0.16,0.57,0.58,0.06,0.09,0.46,0.35
58,0.45,0.23,0.65,0.54,0.12,0.54,0.58,0.44,0.5,0.42,0.35
59,0.48,0.11,0.59,0.6,0.13,0.58,0.6,0.4,0.25,0.47,0.36
60,0.43,0.17,0.66,0.68,0.13,0.56,0.64,0.23,0.42,0.43,0.4
61,0.45,0.21,0.64,0.63,0.18,0.55,0.55,0.36,0.25,0.4,0.0
62,0.44,0.37,0.57,0.54,0.15,0.58,0.59,0.47,0.53,0.4,0.45
63,0.44,0.34,0.57,0.63,0.18,0.55,0.59,0.55,0.59,0.47,0.41
64,0.44,0.41,0.64,0.61,0.12,0.53,0.67,0.37,0.56,0.42,0.45
65,0.45,0.22,0.58,0.66,0.14,0.55,0.62,0.58,0.47,0.46,0.37
66,0.47,0.06,0.65,0.64,0.1,0.59,0.56,0.26,0.19,0.46,0.4
67,0.45,0.29,0.6,0.61,0.09,0.56,0.64,0.4,0.47,0.49,0.39
68,0.48,0.13,0.67,0.65,0.15,0.56,0.57,0.49,0.58,0.45,0.39
69,0.46,0.41,0.65,0.64,0.11,0.57,0.57,0.5,0.56,0.45,0.38
70,0.45,0.24,0.61,0.65,0.19,0.52,0.56,0.51,0.55,0.47,0.35
71,0.4,0.36,0.59,0.56,0.13,0.58,0.66,0.39,0.36,0.46,0.46
72,0.44,0.41,0.51,0.65,0.09,0.54,0.65,0.32,0.5,0.43,0.32
73,0.44,0.26,0.61,0.64,0.13,0.57,0.61,0.16,0.38,0.46,0.45
74,0.43,0.21,0.58,0.66,0.16,0.53,0.63,0.3,0.43,0.42,0.4
75,0.45,0.23,0.6,0.66,0.11,0.57,0.58,0.1,0.37,0.48,0.54
76,0.47,0.28,0.54,0.68,0.12,0.53,0.62,0.36,0.39,0.46,0.45
77,0.42,0.37,0.6,0.62,0.1,0.52,0.62,0.02,0.15,0.54,0.47
78,0.45,0.18,0.65,0.63,0.14,0.55,0.44,0.33,0.36,0.4,0.39
79,0.45,0.1,0.62,0.63,0.1,0.57,0.54,0.46,0.55,0.5,0.36
80,0.47,0.08,0.66,0.57,0.15,0.56,0.68,0.43,0.09,0.44,0.36
81,0.54,0.11,0.61,0.66,0.14,0.56,0.56,0.66,0.52,0.56,0.36
82,0.5,0.14,0.71,0.68,0.16,0.54,0.56,0.63,0.5,0.55,0.38
83,0.52,0.14,0.6,0.6,0.17,0.57,0.56,0.5,0.36,0.58,0.52
84,0.44,0.11,0.59,0.64,0.22,0.6,0.56,0.6,0.23,0.51,0.55
85,0.56,0.2,0.62,0.73,0.22,0.64,0.58,0.59,0.25,0.54,0.36
86,0.56,0.27,0.67,0.69,0.19,0.57,0.57,0.53,0.21,0.56,0.11
87,0.47,0.12,0.65,0.66,0.17,0.59,0.57,0.52,0.54,0.52,0.38
88,0.51,0.16,0.62,0.61,0.22,0.55,0.56,0.61,0.39,0.54,0.39
89,0.56,0.22,0.62,0.63,0.22,0.6,0.57,0.56,0.47,0.58,0.18
90,0.58,0.56,0.68,0.56,0.2,0.57,0.55,0.65,0.23,0.54,0.01
91,0.57,0.02,0.66,0.63,0.2,0.6,0.56,0.65,0.44,0.55,0.36
92,0.49,0.12,0.66,0.69,0.23,0.57,0.56,0.6,0.48,0.58,0.27
93,0.51,0.24,0.61,0.57,0.25,0.54,0.57,0.48,0.31,0.47,0.45
94,0.44,0.21,0.66,0.66,0.2,0.52,0.56,0.6,0.31,0.51,0.51
95,0.48,0.28,0.63,0.65,0.26,0.58,0.58,0.53,0.1,0.64,0.47
96,0.44,0.32,0.65,0.6,0.23,0.53,0.55,0.51,0.3,0.59,0.51
97,0.18,0.47,0.64,0.68,0.19,0.56,0.56,0.0,0.0,0.02,0.11
98,0.58,0.41,0.66,0.63,0.24,0.61,0.54,0.55,0.51,0.59,0.5
99,0.51,0.13,0.58,0.71,0.17,0.58,0.57,0.66,0.51,0.45,0.43
100,0.5,0.39,0.71,0.71,0.22,0.58,0.56,0.59,0.6,0.55,0.58
101,0.51,0.51,0.58,0.56,0.1,0.56,0.56,0.64,0.52,0.55,0.58
102,0.45,0.56,0.61,0.62,0.23,0.56,0.58,0.63,0.57,0.49,0.11
103,0.39,0.34,0.74,0.71,0.16,0.53,0.56,0.5,0.55,0.61,0.27
104,0.49,0.19,0.54,0.64,0.2,0.55,0.56,0.66,0.28,0.59,0.52
105,0.47,0.47,0.56,0.73,0.19,0.57,0.56,0.66,0.51,0.51,0.16
106,0.45,0.49,0.6,0.7,0.25,0.56,0.64,0.68,0.56,0.47,0.0
107,0.48,0.5,0.56,0.64,0.26,0.56,0.45,0.41,0.48,0.62,0.0
108,0.56,0.52,0.55,0.52,0.21,0.56,0.56,0.52,0.47,0.57,0.03
109,0.49,0.44,0.58,0.64,0.19,0.59,0.56,0.71,0.37,0.44,0.54
110,0.47,0.56,0.68,0.63,0.15,0.57,0.59,0.61,0.62,0.45,0.0
111,0.42,0.48,0.59,0.7,0.23,0.57,0.56,0.67,0.42,0.48,0.54
112,0.46,0.47,0.62,0.64,0.2,0.57,0.56,0.63,0.48,0.42,0.6
113,0.47,0.42,0.65,0.67,0.12,0.56,0.56,0.61,0.57,0.44,0.52
114,0.47,0.48,0.65,0.66,0.17,0.56,0.63,0.59,0.66,0.48,0.41
115,0.45,0.48,0.63,0.65,0.12,0.56,0.56,0.71,0.7,0.42,0.21
116,0.48,0.38,0.64,0.69,0.08,0.57,0.61,0.64,0.53,0.42,0.53
117,0.47,0.53,0.58,0.56,0.18,0.54,0.6,0.47,0.0,0.4,0.01
118,0.63,0.47,0.66,0.63,0.19,0.53,0.59,0.54,0.43,0.53,0.01
119,0.46,0.15,0.63,0.15,0.16,0.55,0.55,0.47,0.61,0.51,0.23
120,0.52,0.56,0.63,0.59,0.19,0.59,0.56,0.66,0.56,0.52,0.0
121,0.61,0.21,0.66,0.61,0.22,0.58,0.56,0.64,0.35,0.55,0.51
122,0.51,0.24,0.61,0.67,0.21,0.62,0.56,0.59,0.38,0.56,0.54
123,0.54,0.27,0.6,0.62,0.26,0.61,0.58,0.55,0.13,0.56,0.05
124,0.0,0.0,0.6,0.01,0.19,0.03,0.43,0.28,0.0,0.0,0.06
125,0.55,0.12,0.54,0.54,0.16,0.56,0.56,0.63,0.56,0.46,0.17
126,0.48,0.2,0.64,0.68,0.22,0.53,0.56,0.55,0.56,0.59,0.39
127,0.63,0.28,0.57,0.58,0.18,0.59,0.56,0.56,0.58,0.61,0.16
128,0.59,0.32,0.59,0.67,0.23,0.61,0.56,0.62,0.44,0.5,0.45
129,0.6,0.18,0.59,0.68,0.21,0.56,0.56,0.58,0.58,0.56,0.18
130,0.49,0.56,0.67,0.27,0.17,0.57,0.56,0.7,0.53,0.55,0.0
131,0.54,0.57,0.62,0.38,0.2,0.57,0.55,0.56,0.56,0.49,0.0
132,0.58,0.37,0.59,0.58,0.19,0.59,0.58,0.55,0.38,0.41,0.32
133,0.44,0.0,0.55,0.26,0.0,0.56,0.43,0.03,0.0,0.44,0.01
134,0.52,0.34,0.66,0.7,0.22,0.53,0.55,0.51,0.03,0.54,0.29
135,0.51,0.4,0.65,0.63,0.24,0.5,0.56,0.62,0.09,0.47,0.52
136,0.54,0.3,0.58,0.61,0.25,0.59,0.58,0.56,0.17,0.48,0.54
137,0.57,0.51,0.61,0.65,0.23,0.56,0.53,0.58,0.56,0.55,0.07
138,0.46,0.37,0.61,0.62,0.11,0.57,0.57,0.46,0.55,0.45,0.06
139,0.47,0.51,0.58,0.6,0.23,0.55,0.56,0.62,0.54,0.48,0.54
140,0.47,0.44,0.59,0.73,0.15,0.55,0.56,0.59,0.54,0.5,0.53
141,0.5,0.39,0.56,0.71,0.13,0.59,0.56,0.68,0.44,0.49,0.45
142,0.47,0.31,0.61,0.64,0.19,0.53,0.56,0.57,0.52,0.44,0.31
143,0.5,0.39,0.59,0.64,0.16,0.58,0.59,0.59,0.29,0.38,0.54
144,0.49,0.49,0.59,0.63,0.21,0.53,0.58,0.51,0.56,0.6,0.34
145,0.52,0.28,0.55,0.64,0.13,0.56,0.58,0.65,0.52,0.53,0.27
146,0.53,0.35,0.66,0.63,0.25,0.58,0.55,0.53,0.57,0.51,0.33
147,0.44,0.54,0.61,0.65,0.22,0.55,0.64,0.67,0.52,0.51,0.0
148,0.42,0.53,0.6,0.68,0.21,0.57,0.59,0.66,0.59,0.43,0.0
149,0.51,0.45,0.65,0.68,0.13,0.54,0.57,0.62,0.48,0.43,0.52
150,0.44,0.41,0.64,0.63,0.18,0.59,0.57,0.57,0.55,0.45,0.42
151,0.5,0.39,0.59,0.68,0.16,0.57,0.55,0.63,0.43,0.65,0.53
152,0.45,0.46,0.68,0.71,0.12,0.56,0.6,0.63,0.58,0.53,0.38
153,0.46,0.54,0.6,0.64,0.15,0.54,0.58,0.64,0.5,0.49,0.55
154,0.46,0.4,0.58,0.68,0.12,0.59,0.63,0.56,0.54,0.42,0.51
155,0.49,0.35,0.55,0.64,0.14,0.54,0.56,0.55,0.47,0.51,0.45
