paraphrase idx,falcon-7b-instruct_acc,mpt-7b-instruct_acc,flan-t5-xl_acc,flan-t5-xxl_acc,t0pp_acc,alpaca-13b_acc,airoboros-13b_acc,nous-hermes-13b_acc,ultralm-13b_acc,vicuna-13b_acc,minotaur-15b_acc
32,0.5,0.47,0.63,0.76,0.11,0.51,0.48,0.47,0.26,0.53,0.02
33,0.52,0.29,0.61,0.7,0.07,0.52,0.43,0.19,0.13,0.62,0.0
34,0.52,0.31,0.65,0.76,0.1,0.55,0.54,0.27,0.05,0.58,0.0
35,0.51,0.16,0.62,0.7,0.06,0.51,0.4,0.26,0.09,0.59,0.0
36,0.5,0.48,0.59,0.76,0.12,0.47,0.43,0.47,0.26,0.55,0.0
37,0.49,0.52,0.64,0.71,0.16,0.56,0.48,0.26,0.13,0.54,0.0
38,0.5,0.32,0.66,0.71,0.04,0.52,0.51,0.36,0.44,0.64,0.0
39,0.47,0.38,0.59,0.74,0.08,0.5,0.56,0.36,0.03,0.57,0.0
40,0.54,0.31,0.7,0.66,0.02,0.54,0.42,0.16,0.07,0.6,0.01
41,0.53,0.12,0.61,0.74,0.05,0.53,0.43,0.23,0.13,0.55,0.0
42,0.53,0.21,0.6,0.7,0.12,0.55,0.46,0.29,0.05,0.57,0.0
43,0.51,0.37,0.6,0.74,0.07,0.5,0.44,0.25,0.12,0.47,0.0
44,0.51,0.14,0.64,0.72,0.1,0.53,0.44,0.22,0.05,0.59,0.0
45,0.54,0.16,0.61,0.72,0.11,0.52,0.5,0.17,0.0,0.57,0.0
46,0.47,0.29,0.57,0.72,0.09,0.53,0.46,0.31,0.28,0.58,0.01
47,0.55,0.4,0.64,0.71,0.01,0.51,0.45,0.43,0.07,0.55,0.0
48,0.49,0.41,0.62,0.72,0.18,0.5,0.47,0.48,0.01,0.56,0.0
49,0.5,0.4,0.62,0.73,0.12,0.51,0.42,0.45,0.01,0.55,0.0
50,0.47,0.14,0.64,0.69,0.09,0.53,0.52,0.23,0.03,0.6,0.0
51,0.48,0.29,0.63,0.74,0.09,0.53,0.46,0.39,0.28,0.51,0.0
52,0.5,0.48,0.6,0.69,0.07,0.56,0.5,0.19,0.25,0.67,0.09
53,0.52,0.36,0.63,0.66,0.07,0.49,0.48,0.49,0.52,0.67,0.13
54,0.48,0.48,0.64,0.67,0.07,0.52,0.48,0.11,0.16,0.68,0.07
55,0.5,0.41,0.57,0.7,0.07,0.53,0.47,0.24,0.54,0.67,0.11
56,0.5,0.36,0.65,0.73,0.08,0.5,0.53,0.27,0.11,0.61,0.0
57,0.5,0.47,0.6,0.71,0.09,0.51,0.48,0.49,0.24,0.6,0.06
58,0.5,0.31,0.61,0.68,0.06,0.5,0.46,0.06,0.03,0.63,0.01
59,0.49,0.53,0.56,0.67,0.08,0.48,0.49,0.34,0.16,0.67,0.0
60,0.5,0.44,0.65,0.69,0.07,0.52,0.52,0.15,0.02,0.68,0.01
61,0.5,0.47,0.6,0.64,0.08,0.5,0.46,0.33,0.16,0.67,0.09
62,0.5,0.43,0.59,0.67,0.06,0.54,0.49,0.11,0.14,0.65,0.0
63,0.51,0.45,0.63,0.69,0.08,0.48,0.55,0.26,0.05,0.7,0.0
64,0.48,0.53,0.67,0.78,0.05,0.48,0.48,0.07,0.07,0.67,0.0
65,0.51,0.3,0.62,0.65,0.07,0.5,0.44,0.2,0.02,0.65,0.01
66,0.51,0.4,0.59,0.73,0.07,0.51,0.47,0.46,0.34,0.58,0.1
67,0.5,0.4,0.74,0.72,0.07,0.51,0.53,0.04,0.01,0.72,0.05
68,0.51,0.33,0.64,0.73,0.08,0.51,0.47,0.49,0.21,0.63,0.1
69,0.49,0.47,0.74,0.67,0.06,0.51,0.47,0.43,0.27,0.68,0.05
70,0.5,0.35,0.72,0.68,0.07,0.54,0.49,0.32,0.07,0.67,0.0
71,0.49,0.25,0.53,0.65,0.08,0.5,0.47,0.02,0.02,0.65,0.18
72,0.51,0.4,0.62,0.66,0.09,0.5,0.47,0.59,0.22,0.59,0.29
73,0.51,0.11,0.59,0.76,0.09,0.51,0.48,0.02,0.27,0.6,0.4
74,0.49,0.47,0.66,0.78,0.06,0.51,0.48,0.5,0.12,0.59,0.36
75,0.51,0.32,0.6,0.69,0.06,0.51,0.42,0.04,0.0,0.72,0.31
76,0.5,0.48,0.65,0.7,0.07,0.52,0.47,0.23,0.02,0.7,0.04
77,0.5,0.49,0.69,0.71,0.07,0.51,0.48,0.51,0.09,0.68,0.06
78,0.49,0.37,0.62,0.7,0.08,0.51,0.46,0.36,0.03,0.74,0.05
79,0.49,0.47,0.63,0.76,0.08,0.52,0.5,0.43,0.12,0.66,0.04
80,0.47,0.47,0.71,0.74,0.08,0.52,0.49,0.51,0.03,0.64,0.09
81,0.5,0.5,0.54,0.68,0.07,0.5,0.49,0.49,0.09,0.7,0.12
82,0.5,0.47,0.67,0.67,0.07,0.55,0.49,0.1,0.05,0.68,0.05
83,0.5,0.52,0.62,0.76,0.06,0.5,0.51,0.51,0.13,0.63,0.04
84,0.5,0.51,0.69,0.72,0.07,0.5,0.48,0.57,0.36,0.66,0.09
85,0.49,0.44,0.69,0.65,0.09,0.49,0.49,0.09,0.09,0.74,0.24
86,0.51,0.4,0.61,0.7,0.07,0.51,0.51,0.08,0.06,0.62,0.01
87,0.51,0.41,0.66,0.7,0.08,0.51,0.48,0.24,0.03,0.66,0.04
88,0.48,0.43,0.67,0.68,0.06,0.51,0.51,0.52,0.19,0.73,0.06
89,0.55,0.51,0.64,0.7,0.03,0.5,0.49,0.57,0.01,0.53,0.03
90,0.47,0.56,0.6,0.71,0.03,0.49,0.54,0.55,0.08,0.51,0.06
91,0.47,0.51,0.61,0.72,0.05,0.47,0.47,0.55,0.08,0.51,0.14
92,0.43,0.5,0.63,0.75,0.07,0.51,0.38,0.61,0.26,0.41,0.0
93,0.55,0.49,0.61,0.73,0.06,0.51,0.43,0.6,0.03,0.49,0.16
94,0.58,0.45,0.59,0.75,0.05,0.44,0.48,0.48,0.03,0.51,0.19
95,0.49,0.52,0.65,0.71,0.06,0.47,0.45,0.56,0.06,0.47,0.0
96,0.49,0.48,0.67,0.67,0.06,0.47,0.36,0.58,0.0,0.45,0.02
97,0.43,0.48,0.65,0.69,0.06,0.46,0.48,0.5,0.0,0.44,0.01
98,0.53,0.5,0.59,0.71,0.06,0.48,0.41,0.59,0.08,0.5,0.0
99,0.51,0.4,0.58,0.68,0.03,0.47,0.45,0.52,0.19,0.51,0.26
100,0.5,0.45,0.62,0.68,0.05,0.5,0.44,0.57,0.1,0.52,0.19
101,0.56,0.61,0.61,0.73,0.06,0.45,0.46,0.56,0.12,0.42,0.0
102,0.49,0.42,0.66,0.73,0.05,0.46,0.47,0.43,0.5,0.45,0.12
103,0.42,0.43,0.63,0.75,0.05,0.45,0.46,0.5,0.24,0.46,0.04
104,0.53,0.44,0.64,0.76,0.06,0.46,0.46,0.54,0.27,0.44,0.04
105,0.5,0.47,0.61,0.74,0.03,0.47,0.44,0.56,0.09,0.42,0.14
106,0.51,0.58,0.58,0.74,0.05,0.46,0.48,0.57,0.12,0.44,0.19
107,0.46,0.42,0.63,0.66,0.05,0.41,0.49,0.53,0.21,0.47,0.04
108,0.44,0.45,0.65,0.72,0.05,0.46,0.45,0.53,0.32,0.41,0.0
109,0.47,0.5,0.59,0.7,0.04,0.49,0.5,0.52,0.51,0.54,0.01
110,0.51,0.09,0.65,0.66,0.09,0.49,0.47,0.58,0.0,0.5,0.03
111,0.47,0.15,0.53,0.65,0.06,0.46,0.42,0.52,0.02,0.48,0.04
112,0.5,0.49,0.66,0.66,0.07,0.48,0.42,0.5,0.07,0.53,0.28
113,0.45,0.5,0.62,0.73,0.05,0.5,0.47,0.55,0.01,0.55,0.04
114,0.46,0.52,0.63,0.71,0.07,0.5,0.49,0.52,0.01,0.6,0.02
115,0.48,0.26,0.67,0.66,0.06,0.53,0.47,0.65,0.03,0.48,0.28
116,0.57,0.34,0.67,0.73,0.04,0.53,0.47,0.69,0.02,0.52,0.14
117,0.55,0.31,0.65,0.69,0.07,0.49,0.49,0.56,0.52,0.46,0.05
118,0.51,0.3,0.62,0.7,0.07,0.46,0.49,0.5,0.44,0.48,0.0
119,0.49,0.45,0.64,0.62,0.08,0.49,0.45,0.58,0.0,0.54,0.11
120,0.5,0.5,0.67,0.71,0.08,0.51,0.47,0.64,0.0,0.51,0.14
121,0.44,0.26,0.58,0.8,0.04,0.46,0.47,0.56,0.0,0.49,0.47
122,0.57,0.38,0.66,0.75,0.06,0.51,0.46,0.58,0.0,0.62,0.14
123,0.52,0.34,0.6,0.7,0.06,0.45,0.47,0.55,0.0,0.51,0.28
124,0.49,0.2,0.59,0.72,0.06,0.5,0.47,0.56,0.17,0.51,0.26
125,0.5,0.46,0.62,0.68,0.07,0.47,0.44,0.56,0.08,0.58,0.02
126,0.5,0.45,0.7,0.69,0.05,0.46,0.42,0.48,0.01,0.57,0.02
127,0.48,0.48,0.55,0.6,0.05,0.5,0.47,0.58,0.03,0.55,0.29
128,0.47,0.43,0.64,0.69,0.05,0.51,0.44,0.65,0.0,0.52,0.29
129,0.44,0.38,0.62,0.67,0.06,0.49,0.43,0.58,0.0,0.5,0.1
130,0.52,0.45,0.64,0.74,0.06,0.43,0.5,0.51,0.0,0.45,0.03
131,0.51,0.5,0.64,0.65,0.07,0.47,0.49,0.6,0.01,0.49,0.04
132,0.5,0.53,0.71,0.72,0.05,0.48,0.44,0.58,0.03,0.5,0.02
133,0.5,0.49,0.65,0.66,0.06,0.48,0.49,0.5,0.0,0.48,0.07
134,0.52,0.42,0.63,0.65,0.06,0.48,0.45,0.48,0.3,0.56,0.06
135,0.5,0.48,0.66,0.66,0.08,0.53,0.48,0.12,0.02,0.5,0.01
136,0.53,0.49,0.67,0.68,0.07,0.48,0.47,0.55,0.12,0.52,0.01
137,0.54,0.53,0.65,0.66,0.07,0.48,0.49,0.64,0.0,0.45,0.09
138,0.48,0.36,0.65,0.74,0.03,0.52,0.47,0.65,0.09,0.51,0.21
139,0.51,0.49,0.63,0.72,0.04,0.54,0.47,0.53,0.11,0.47,0.02
140,0.5,0.44,0.65,0.67,0.06,0.47,0.44,0.41,0.02,0.46,0.27
141,0.49,0.34,0.68,0.69,0.05,0.46,0.44,0.59,0.17,0.55,0.02
142,0.42,0.47,0.62,0.67,0.06,0.39,0.43,0.59,0.1,0.56,0.16
143,0.49,0.27,0.56,0.73,0.05,0.51,0.45,0.62,0.03,0.48,0.19
144,0.47,0.42,0.64,0.66,0.07,0.47,0.49,0.56,0.0,0.44,0.03
145,0.42,0.2,0.67,0.72,0.01,0.45,0.48,0.37,0.45,0.5,0.12
146,0.47,0.39,0.56,0.66,0.12,0.48,0.44,0.11,0.01,0.5,0.31
147,0.44,0.43,0.56,0.69,0.07,0.49,0.5,0.53,0.1,0.52,0.13
148,0.51,0.53,0.64,0.73,0.08,0.48,0.49,0.59,0.0,0.52,0.02
149,0.48,0.4,0.57,0.73,0.05,0.52,0.44,0.47,0.19,0.53,0.13
150,0.52,0.49,0.21,0.49,0.08,0.51,0.53,0.02,0.08,0.57,0.0
151,0.45,0.52,0.65,0.73,0.07,0.54,0.48,0.6,0.07,0.51,0.07
152,0.51,0.48,0.64,0.74,0.07,0.46,0.47,0.4,0.19,0.44,0.01
153,0.48,0.53,0.61,0.73,0.07,0.53,0.49,0.51,0.0,0.56,0.0
154,0.45,0.49,0.56,0.69,0.06,0.49,0.41,0.47,0.37,0.56,0.02
155,0.5,0.44,0.68,0.69,0.07,0.48,0.47,0.65,0.02,0.47,0.36
156,0.52,0.46,0.66,0.69,0.06,0.5,0.48,0.45,0.05,0.72,0.02
157,0.47,0.4,0.65,0.68,0.05,0.52,0.51,0.63,0.0,0.51,0.2
158,0.54,0.42,0.6,0.7,0.06,0.5,0.42,0.47,0.02,0.48,0.45
159,0.47,0.0,0.61,0.68,0.05,0.52,0.41,0.04,0.0,0.49,0.1
160,0.48,0.49,0.63,0.71,0.06,0.49,0.45,0.57,0.0,0.59,0.01
161,0.51,0.37,0.61,0.64,0.07,0.51,0.5,0.54,0.0,0.49,0.0
162,0.5,0.39,0.61,0.7,0.06,0.52,0.48,0.61,0.07,0.5,0.31
